year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12280	30123	Academy of Art	-	Totals	-	-	-	-	-	1200:00	159	403	39.45	43	148	29.05	79	121	65.29	440	73.33	79	112	191	31.83	78	85	49	9	146	6	11	 	 
2016	12280	30123	Academy of Art	-	Opponent Totals	-	-	-	-	-	1200:00	140	334	41.92	33	115	28.70	142	180	78.89	455	75.83	78	167	245	40.83	89	127	33	12	135	6	5	 	 
2016	12280	929	Adams St.	-	Totals	-	-	-	-	-	400:00	25	117	21.37	7	38	18.42	25	44	56.82	82	41.00	43	40	83	41.50	16	43	22	3	44	2	 	 	 
2016	12280	929	Adams St.	-	Opponent Totals	-	-	-	-	-	400:00	43	107	40.19	18	47	38.30	42	50	84.00	146	73.00	27	59	86	43.00	34	35	25	10	40	2	1	 	 
2016	12280	3	Adelphi	-	Totals	-	-	-	-	-	800:00	89	243	36.63	15	64	23.44	44	77	57.14	237	59.25	51	100	151	37.75	53	73	31	11	81	4	5	 	 
2016	12280	3	Adelphi	-	Opponent Totals	-	-	-	-	-	800:00	89	240	37.08	16	54	29.63	75	98	76.53	269	67.25	55	112	167	41.75	50	69	34	8	77	4	1	 	 
2016	12280	10	Ala.-Huntsville	-	Totals	-	-	-	-	-	600:00	66	159	41.51	25	69	36.23	35	40	87.50	192	64.00	25	89	114	38.00	53	50	16	3	55	3	1	 	 
2016	12280	10	Ala.-Huntsville	-	Opponent Totals	-	-	-	-	-	600:00	57	168	33.93	7	36	19.44	34	54	62.96	155	51.67	41	73	114	38.00	39	43	22	7	53	3	3	 	 
2016	12280	11	Alas. Anchorage	-	Totals	-	-	-	-	-	2000:00	338	709	47.67	96	254	37.80	144	198	72.73	916	91.60	188	278	466	46.60	221	182	145	35	237	10	6	 	 
2016	12280	11	Alas. Anchorage	-	Opponent Totals	-	-	-	-	-	2000:00	148	518	28.57	42	181	23.20	159	237	67.09	497	49.70	116	199	315	31.50	97	275	51	31	175	10	2	 	 
2016	12280	12	Alas. Fairbanks	-	Totals	-	-	-	-	-	1024:00	141	362	38.95	30	112	26.79	108	154	70.13	420	84.00	94	137	231	46.20	87	94	58	14	113	5	5	 	 
2016	12280	12	Alas. Fairbanks	-	Opponent Totals	-	-	-	-	-	1024:00	130	306	42.48	24	86	27.91	85	129	65.89	369	73.80	59	150	209	41.80	64	118	41	14	129	5	7	 	 
2016	12280	13	Albany St. (GA)	-	Totals	-	-	-	-	-	399:00	39	103	37.86	4	22	18.18	18	30	60.00	100	50.00	21	48	69	34.50	16	53	13	3	28	2	1	 	 
2016	12280	13	Albany St. (GA)	-	Opponent Totals	-	-	-	-	-	400:00	57	135	42.22	8	33	24.24	26	33	78.79	148	74.00	33	48	81	40.50	28	30	28	2	35	2	 	 	 
2016	12280	934	Alderson Broaddus	-	Totals	-	-	-	-	-	800:00	93	224	41.52	28	97	28.87	36	59	61.02	250	62.50	28	70	98	24.50	49	82	42	3	84	4	1	 	 
2016	12280	934	Alderson Broaddus	-	Opponent Totals	-	-	-	-	-	800:00	123	233	52.79	13	51	25.49	62	81	76.54	321	80.25	49	115	164	41.00	71	85	45	14	66	4	1	 	 
2016	12280	22	American Int'l	-	Totals	-	-	-	-	-	200:00	25	63	39.68	7	24	29.17	10	15	66.67	67	67.00	14	28	42	42.00	9	10	6	4	21	1	 	 	 
2016	12280	22	American Int'l	-	Opponent Totals	-	-	-	-	-	200:00	19	55	34.55	5	16	31.25	9	15	60.00	52	52.00	12	26	38	38.00	11	16	3	2	16	1	 	 	 
2016	12280	25	Angelo St.	-	Totals	-	-	-	-	-	400:00	72	146	49.32	13	34	38.24	36	47	76.60	193	96.50	40	63	103	51.50	43	33	25	7	45	2	1	 	 
2016	12280	25	Angelo St.	-	Opponent Totals	-	-	-	-	-	400:00	40	125	32.00	8	33	24.24	26	48	54.17	114	57.00	32	41	73	36.50	17	41	16	3	43	2	1	 	 
2016	12280	30105	Ark.-Fort Smith	-	Totals	-	-	-	-	-	800:00	103	256	40.23	44	109	40.37	60	81	74.07	310	77.50	51	107	158	39.50	71	66	49	19	85	4	2	 	 
2016	12280	30105	Ark.-Fort Smith	-	Opponent Totals	-	-	-	-	-	800:00	84	226	37.17	20	66	30.30	52	75	69.33	240	60.00	41	109	150	37.50	47	82	29	18	73	4	1	 	 
2016	12280	8411	Ark.-Monticello	-	Totals	-	-	-	-	-	200:00	25	57	43.86	3	18	16.67	14	21	66.67	67	67.00	9	28	37	37.00	15	9	7	2	12	1	 	 	 
2016	12280	8411	Ark.-Monticello	-	Opponent Totals	-	-	-	-	-	200:00	22	65	33.85	7	27	25.93	11	14	78.57	62	62.00	14	26	40	40.00	13	10	3	2	17	1	 	 	 
2016	12280	947	Arkansas Tech	-	Totals	-	-	-	-	-	600:00	99	214	46.26	25	67	37.31	58	84	69.05	281	93.67	38	97	135	45.00	56	33	27	7	63	3	 	 	 
2016	12280	947	Arkansas Tech	-	Opponent Totals	-	-	-	-	-	600:00	69	186	37.10	9	39	23.08	52	74	70.27	199	66.33	35	85	120	40.00	28	59	18	5	71	3	2	 	 
2016	12280	33	Armstrong St.	-	Totals	-	-	-	-	-	1000:00	127	284	44.72	19	51	37.25	84	118	71.19	357	71.40	56	142	198	39.60	63	88	53	27	78	5	 	 	 
2016	12280	33	Armstrong St.	-	Opponent Totals	-	-	-	-	-	1000:00	112	332	33.73	33	105	31.43	40	63	63.49	297	59.40	85	117	202	40.40	45	98	32	8	105	5	4	 	 
2016	12280	35	Ashland	-	Totals	-	-	-	-	-	600:00	93	167	55.69	15	50	30.00	41	55	74.55	242	80.67	29	90	119	39.67	64	51	35	12	46	3	 	 	 
2016	12280	35	Ashland	-	Opponent Totals	-	-	-	-	-	600:00	70	171	40.94	15	60	25.00	17	31	54.84	172	57.33	22	55	77	25.67	40	59	23	2	57	3	2	 	 
2016	12280	36	Assumption	-	Totals	-	-	-	-	-	599:00	75	190	39.47	24	59	40.68	43	61	70.49	217	72.33	47	94	141	47.00	49	44	16	11	45	3	 	 	 
2016	12280	36	Assumption	-	Opponent Totals	-	-	-	-	-	599:00	68	185	36.76	16	59	27.12	25	36	69.44	177	59.00	31	75	106	35.33	33	45	21	14	60	3	3	 	 
2016	12280	39	Augusta	-	Totals	-	-	-	-	-	599:00	79	195	40.51	16	59	27.12	53	85	62.35	227	75.67	48	94	142	47.33	40	54	30	9	61	3	1	 	 
2016	12280	39	Augusta	-	Opponent Totals	-	-	-	-	-	600:00	68	186	36.56	18	61	29.51	57	79	72.15	211	70.33	39	83	122	40.67	38	47	21	10	62	3	2	 	 
2016	12280	41	Augustana (SD)	-	Totals	-	-	-	-	-	600:00	94	220	42.73	24	77	31.17	41	54	75.93	253	84.33	48	81	129	43.00	51	43	45	19	63	3	1	 	 
2016	12280	41	Augustana (SD)	-	Opponent Totals	-	-	-	-	-	600:00	56	169	33.14	11	68	16.18	44	61	72.13	167	55.67	40	76	116	38.67	31	79	23	10	49	3	 	 	 
2016	12280	30146	Azusa Pacific	-	Totals	-	-	-	-	-	800:00	108	255	42.35	35	96	36.46	55	84	65.48	306	76.50	57	114	171	42.75	62	55	35	26	63	4	 	 	 
2016	12280	30146	Azusa Pacific	-	Opponent Totals	-	-	-	-	-	799:00	94	253	37.15	22	66	33.33	30	57	52.63	240	60.00	57	103	160	40.00	41	64	32	10	84	4	6	 	 
