game_id	period_id	category	team_value	opponent_value
3941281	1st Period	Time of Possession	273	327
3941281	1st Period	Scoring Time of Possession	157	176
3941281	1st Period	Pos Cnt	17	17
3941281	1st Period	Sc Cnt	7	7
3941281	1st Period	Times Took Lead	3	2
3941281	1st Period	Largest Lead	0	0
3941281	1st Period	Time of Largest Lead	-	-
3941281	1st Period	Times Tied Score	1	0
3941281	1st Period	Bench Pts	6	0
3941281	1st Period	2nd Chance Pts	5	0
3941281	1st Period	Pts off TO	5	4
3941281	1st Period	Fastbreak Pts	""	""
3941281	1st Period	Pts in Paint	""	""
3941281	2nd Period	Time of Possession	296	304
3941281	2nd Period	Scoring Time of Possession	82	153
3941281	2nd Period	Pos Cnt	19	19
3941281	2nd Period	Sc Cnt	4	8
3941281	2nd Period	Times Took Lead	0	1
3941281	2nd Period	Largest Lead	0	0
3941281	2nd Period	Time of Largest Lead	-	-
3941281	2nd Period	Times Tied Score	1	1
3941281	2nd Period	Bench Pts	2	2
3941281	2nd Period	2nd Chance Pts	4	0
3941281	2nd Period	Pts off TO	4	4
3941281	2nd Period	Fastbreak Pts	""	""
3941281	2nd Period	Pts in Paint	""	""
3941281	3rd Period	Time of Possession	268	317
3941281	3rd Period	Scoring Time of Possession	112	172
3941281	3rd Period	Pos Cnt	18	18
3941281	3rd Period	Sc Cnt	7	11
3941281	3rd Period	Times Took Lead	0	0
3941281	3rd Period	Largest Lead	0	0
3941281	3rd Period	Time of Largest Lead	-	-
3941281	3rd Period	Times Tied Score	0	0
3941281	3rd Period	Bench Pts	2	2
3941281	3rd Period	2nd Chance Pts	2	0
3941281	3rd Period	Pts off TO	2	8
3941281	3rd Period	Fastbreak Pts	""	""
3941281	3rd Period	Pts in Paint	""	""
3941281	4th Period	Time of Possession	248	352
3941281	4th Period	Scoring Time of Possession	96	168
3941281	4th Period	Pos Cnt	18	19
3941281	4th Period	Sc Cnt	7	9
3941281	4th Period	Times Took Lead	0	0
3941281	4th Period	Largest Lead	0	0
3941281	4th Period	Time of Largest Lead	-	-
3941281	4th Period	Times Tied Score	0	0
3941281	4th Period	Bench Pts	4	10
3941281	4th Period	2nd Chance Pts	2	3
3941281	4th Period	Pts off TO	5	2
3941281	4th Period	Fastbreak Pts	""	""
3941281	4th Period	Pts in Paint	""	""
3941281	Game Stats	Time of Possession	1,085	1,300
3941281	Game Stats	Scoring Time of Possession	447	669
3941281	Game Stats	Pos Cnt	72	73
3941281	Game Stats	Sc Cnt	25	35
3941281	Game Stats	Times Took Lead	3	3
3941281	Game Stats	Largest Lead	4	22
3941281	Game Stats	Time of Largest Lead		
3941281	Game Stats	Times Tied Score	2	1
3941281	Game Stats	Bench Pts	14	14
3941281	Game Stats	2nd Chance Pts	13	3
3941281	Game Stats	Pts off TO	16	18
3941281	Game Stats	Fastbreak Pts		
3941281	Game Stats	Pts in Paint		
3941357	1st Period	Time of Possession	310	290
3941357	1st Period	Scoring Time of Possession	72	103
3941357	1st Period	Pos Cnt	20	20
3941357	1st Period	Sc Cnt	7	6
3941357	1st Period	Times Took Lead	2	1
3941357	1st Period	Largest Lead	0	0
3941357	1st Period	Time of Largest Lead	-	-
3941357	1st Period	Times Tied Score	2	2
3941357	1st Period	Bench Pts	4	6
3941357	1st Period	2nd Chance Pts	0	7
3941357	1st Period	Pts off TO	8	6
3941357	1st Period	Fastbreak Pts	""	""
3941357	1st Period	Pts in Paint	""	""
3941357	2nd Period	Time of Possession	364	236
3941357	2nd Period	Scoring Time of Possession	183	141
3941357	2nd Period	Pos Cnt	21	22
3941357	2nd Period	Sc Cnt	11	11
3941357	2nd Period	Times Took Lead	1	2
3941357	2nd Period	Largest Lead	0	0
3941357	2nd Period	Time of Largest Lead	-	-
3941357	2nd Period	Times Tied Score	3	1
3941357	2nd Period	Bench Pts	7	14
3941357	2nd Period	2nd Chance Pts	7	2
3941357	2nd Period	Pts off TO	2	3
3941357	2nd Period	Fastbreak Pts	""	""
3941357	2nd Period	Pts in Paint	""	""
3941357	3rd Period	Time of Possession	315	285
3941357	3rd Period	Scoring Time of Possession	118	182
3941357	3rd Period	Pos Cnt	19	20
3941357	3rd Period	Sc Cnt	8	11
3941357	3rd Period	Times Took Lead	0	0
3941357	3rd Period	Largest Lead	0	0
3941357	3rd Period	Time of Largest Lead	-	-
3941357	3rd Period	Times Tied Score	0	0
3941357	3rd Period	Bench Pts	7	6
3941357	3rd Period	2nd Chance Pts	4	1
3941357	3rd Period	Pts off TO	5	11
3941357	3rd Period	Fastbreak Pts	""	""
3941357	3rd Period	Pts in Paint	""	""
3941357	4th Period	Time of Possession	345	255
3941357	4th Period	Scoring Time of Possession	68	80
3941357	4th Period	Pos Cnt	20	21
3941357	4th Period	Sc Cnt	4	8
3941357	4th Period	Times Took Lead	0	0
3941357	4th Period	Largest Lead	0	0
3941357	4th Period	Time of Largest Lead	-	-
3941357	4th Period	Times Tied Score	0	0
3941357	4th Period	Bench Pts	6	2
3941357	4th Period	2nd Chance Pts	2	2
3941357	4th Period	Pts off TO	1	11
3941357	4th Period	Fastbreak Pts	""	""
3941357	4th Period	Pts in Paint	""	""
3941357	Game Stats	Time of Possession	1,334	1,066
3941357	Game Stats	Scoring Time of Possession	441	506
3941357	Game Stats	Pos Cnt	80	83
3941357	Game Stats	Sc Cnt	30	36
3941357	Game Stats	Times Took Lead	3	3
3941357	Game Stats	Largest Lead	4	22
3941357	Game Stats	Time of Largest Lead		
3941357	Game Stats	Times Tied Score	5	3
3941357	Game Stats	Bench Pts	24	28
3941357	Game Stats	2nd Chance Pts	13	12
3941357	Game Stats	Pts off TO	16	31
3941357	Game Stats	Fastbreak Pts		
3941357	Game Stats	Pts in Paint		
3943058	1st Period	Time of Possession	318	282
3943058	1st Period	Scoring Time of Possession	189	59
3943058	1st Period	Pos Cnt	20	19
3943058	1st Period	Sc Cnt	12	5
3943058	1st Period	Times Took Lead	0	0
3943058	1st Period	Largest Lead	0	0
3943058	1st Period	Time of Largest Lead	-	-
3943058	1st Period	Times Tied Score	0	0
3943058	1st Period	Bench Pts	6	4
3943058	1st Period	2nd Chance Pts	4	2
3943058	1st Period	Pts off TO	9	0
3943058	1st Period	Fastbreak Pts	""	""
3943058	1st Period	Pts in Paint	""	""
3943058	2nd Period	Time of Possession	286	314
3943058	2nd Period	Scoring Time of Possession	72	91
3943058	2nd Period	Pos Cnt	20	20
3943058	2nd Period	Sc Cnt	4	7
3943058	2nd Period	Times Took Lead	0	0
3943058	2nd Period	Largest Lead	0	0
3943058	2nd Period	Time of Largest Lead	-	-
3943058	2nd Period	Times Tied Score	0	0
3943058	2nd Period	Bench Pts	0	2
3943058	2nd Period	2nd Chance Pts	4	4
3943058	2nd Period	Pts off TO	2	6
3943058	2nd Period	Fastbreak Pts	""	""
3943058	2nd Period	Pts in Paint	""	""
3943058	3rd Period	Time of Possession	342	258
3943058	3rd Period	Scoring Time of Possession	81	148
3943058	3rd Period	Pos Cnt	17	17
3943058	3rd Period	Sc Cnt	5	8
3943058	3rd Period	Times Took Lead	0	0
3943058	3rd Period	Largest Lead	0	0
3943058	3rd Period	Time of Largest Lead	-	-
3943058	3rd Period	Times Tied Score	0	0
3943058	3rd Period	Bench Pts	0	2
3943058	3rd Period	2nd Chance Pts	0	5
3943058	3rd Period	Pts off TO	0	4
