game_id	period_id	section_id	team_name	fgm	fga	tpfg	tpfga	ft	fta	pts	orebs	drebs	tot	reb	ast	to	stl	blk	fouls	dq
2690306	1st Half	0	Emory & Henry	6	32	1	7	2	5	15	9	10	19	4	11	4	0	7	""
2690306	1st Half	1	Radford	13	30	4	9	6	10	36	7	19	26	9	9	5	0	8	""
2690306	2nd Half	0	Emory & Henry	7	35	2	13	7	10	23	8	8	16	3	4	5	0	7	""
2690306	2nd Half	1	Radford	14	23	4	8	6	10	38	3	22	25	11	11	3	4	10	""
2690306	Game Stats	0	Radford	27	53	8	17	12	20	74	10	41	51	20	20	8	4	18	 
2690306	Game Stats	1	Emory & Henry	13/	67/	3/	20/	9/	15/	38/	17/	18	35/	7/	15/	9/	 	14/	 
2693453	1st Half	0	Fontbonne	8	28	1	3	9	14	26	6	16	22	4	9	0	1	10	""
2693453	1st Half	1	Maryville (MO)	17	40	4	13	9	9	47	7	16	23	12	4	6	6	11	""
2693453	2nd Half	0	Fontbonne	4	21	1	8	4	9	13	4	12	16	1	15	1	1	10	""
2693453	2nd Half	1	Maryville (MO)	18	45	5	17	5	7	46	16	15	31	14	3	9	2	7	""
2693453	Game Stats	0	Fontbonne	12/	49/	2/	11/	13/	23/	39/	10/	28	38/	5/	24/	1/	2/	20/	 
2693453	Game Stats	1	Maryville (MO)	35	85	9	30	14	16	93	23	31	54	26	7	15	8	18	 
2697053	1st Half	0	Texas Lutheran	10	30	1	7	15	21	36	8	13	21	5	13	6	0	13	""
2697053	1st Half	1	Abilene Christian	21	39	9	23	10	16	61	9	15	24	15	7	5	1	16	""
2697053	2nd Half	0	Texas Lutheran	10	32	3	11	14	22	37	7	18	25	6	11	5	2	7	""
2697053	2nd Half	1	Abilene Christian	18	40	8	23	6	6	50	4	20	24	14	8	9	4	16	""
2697053	Game Stats	0	Texas Lutheran	20	62	4	18	29	43	73	15	31	46	11	24	11	2	20	 
2697053	Game Stats	1	Abilene Christian	39	79	17	46	16	22	111/	13	35	48	29	15	14	5	32	2
2697461	1st Half	0	Schreiner	7	29	2	7	7	11	23	9	10	19	3	8	1	0	17	""
2697461	1st Half	1	UTRGV	12	44	4	17	12	17	40	24	16	40	8	6	3	1	11	""
2697461	2nd Half	0	Schreiner	4	22	2	5	13	18	23	7	9	16	3	13	0	0	7	""
2697461	2nd Half	1	UTRGV	19	34	4	13	5	7	47	8	13	21	8	5	5	5	14	""
2697461	Game Stats	0	Schreiner	11	51	4	12	20	29	46	16	19	35	6	21	1	 	24	1
2697461	Game Stats	1	UTRGV	31	78	8	30	17	24	87	32/	29	61/	16	11	8	6	25	1
2700554	1st Half	0	Crown (MN)	7	33	0	2	3	8	17	5	15	20	3	12	3	0	13	""
2700554	1st Half	1	Southwest Minn. St.	18	39	5	13	12	14	53	8	23	31	10	4	8	2	10	""
2700554	2nd Half	0	Crown (MN)	10	26	1	4	5	6	26	1	12	13	3	16	3	2	8	""
2700554	2nd Half	1	Southwest Minn. St.	19	42	4	18	6	8	48	12	15	27	11	10	7	3	5	""
2700554	Game Stats	0	Crown (MN)	17/	59/	1/	6/	8/	14/	43/	6/	27	33/	6/	28/	6/	2/	21/	1/
2700554	Game Stats	1	Southwest Minn. St.	37	81	9	31	18	22	101	20	38	58	21	14	15	5	15	 
2703467	1st Half	0	Louisiana Col.	9	38	6	20	2	8	26	12	7	19	7	15	5	0	13	""
2703467	1st Half	1	La.-Monroe	17	31	1	4	12	15	47	6	21	27	14	15	8	4	10	""
2703467	2nd Half	0	Louisiana Col.	6	31	3	13	11	20	26	10	9	19	3	12	7	2	10	""
2703467	2nd Half	1	La.-Monroe	21	48	1	9	2	5	45	21	16	37	13	13	6	2	17	""
2703467	Game Stats	0	Louisiana Col.	15/	69/	9/	33/	13/	28/	52/	22/	16	38/	10/	27/	12/	2/	23/	 
2703467	Game Stats	1	La.-Monroe	38	79	2	13	14	20	92	27/	37	64/	27/	28	14	6	27	 
2704013	1st Half	0	Westminster (MO)	9	23	1	6	5	7	24	3	7	10	4	11	2	0	11	""
2704013	1st Half	1	Missouri S&T	16	27	6	11	7	11	45	5	12	17	12	8	2	3	7	""
2704013	2nd Half	0	Westminster (MO)	11	30	1	6	5	7	28	5	12	17	4	6	2	2	10	""
2704013	2nd Half	1	Missouri S&T	14	34	3	9	9	12	40	11	16	27	8	6	3	4	7	""
2704013	Game Stats	0	Westminster (MO)	20/	53/	2/	12/	10/	14/	52/	8/	19	27/	8/	17/	4/	2/	21/	 
2704013	Game Stats	1	Missouri S&T	30	61	9	20	16	23	85	16	28	44	20	14	5	7	14	 
2704033	1st Half	0	Hendrix	6	22	0	7	5	14	17	6	11	17	1	13	1	0	14	""
2704033	1st Half	1	Henderson St.	15	38	2	9	10	17	42	18	15	33	2	10	5	0	12	""
2704033	2nd Half	0	Hendrix	10	27	4	7	3	5	27	5	8	13	2	13	2	0	8	""
2704033	2nd Half	1	Henderson St.	15	34	3	10	5	10	38	14	13	27	5	9	6	4	7	""
2704033	Game Stats	0	Hendrix	16/	49/	4/	14/	8/	19/	44/	11/	19	30/	3/	26/	3/	 	22/	 
2704033	Game Stats	1	Henderson St.	30	72	5	19	15	27	80	32/	28	60	7	19	11	4	19	 
2704173	1st Half	0	Eastern	9	23	6	14	5	9	29	4	13	17	8	9	1	0	9	""
2704173	1st Half	1	UMBC	12	26	6	17	5	6	35	2	12	14	9	5	2	1	7	""
2704173	2nd Half	0	Eastern	8	25	1	10	4	6	21	4	16	20	5	10	3	0	9	""
2704173	2nd Half	1	UMBC	9	26	3	13	3	4	24	2	14	16	9	8	3	5	7	""
2704173	Game Stats	0	Eastern	17/	48/	7/	24/	9/	15/	50/	8/	29	37/	13/	19/	4/	 	18/	 
2704173	Game Stats	1	UMBC	21	52	9	30	8	10	59	4	26	30	18	13	5	6	14	 
2706836	1st Half	0	Lynchburg	11	34	2	6	6	7	30	6	11	17	8	5	4	1	4	""
2706836	1st Half	1	Radford	15	35	5	13	6	6	41	9	18	27	11	6	3	2	8	""
2706836	2nd Half	0	Lynchburg	7	27	1	4	4	7	19	4	14	18	3	12	5	4	8	""
2706836	2nd Half	1	Radford	10	32	3	8	8	12	31	10	19	29	7	11	8	4	5	""
2706836	Game Stats	0	Lynchburg	18	61	3	10	10	14	49	10	25	35	11	17	9	5	12	 
2706836	Game Stats	1	Radford	25	67	8	21	14	18	72	19	37	56	18	17	11	6	13	 
2706993	1st Half	0	Buena Vista	8	30	1	7	7	10	24	8	12	20	4	15	2	0	11	""
2706993	1st Half	1	Minn. St. Mankato	21	36	6	15	8	12	56	5	16	21	16	5	6	0	13	""
2706993	2nd Half	0	Buena Vista	9	30	1	9	14	19	33	13	14	27	3	19	1	2	10	""
2706993	2nd Half	1	Minn. St. Mankato	22	40	7	12	12	16	63	7	12	19	17	5	14	3	15	""
2706993	Game Stats	0	Buena Vista	17	60	2	16	21	29	57	21	26	47	7	34	3	2	21	 
2706993	Game Stats	1	Minn. St. Mankato	43/	76	13	27	20	28	119/	12	28	40	33/	10	20/	3	28	1
2708474	1st Half	0	Concordia (TX)	6	41	2	13	1	2	15	17	14	31	3	19	12	1	13	""
2708474	1st Half	1	St. Edward's	13	29	2	10	8	17	36	8	18	26	6	15	10	5	6	""
2708474	2nd Half	0	Concordia (TX)	7	34	1	6	1	2	16	7	10	17	2	13	8	2	13	""
2708474	2nd Half	1	St. Edward's	13	28	3	9	12	19	41	9	21	30	8	10	9	3	3	""
2708474	Game Stats	0	Concordia (TX)	13/	75/	3/	19/	2/	4/	31/	24/	24	48/	5/	32/	20/	3/	26/	 
2708474	Game Stats	1	St. Edward's	26	57	5	19	20	36	77	17	39	56	14	25	19/	8	9	 
2717373	1st Half	0	Chapman	18	48	1	5	4	6	41	15	13	28	11	14	9	0	11	""
2717373	1st Half	1	SUNY New Paltz	11	26	2	5	8	11	32	4	15	19	7	22	6	2	5	""
2717373	2nd Half	0	Chapman	18	33	0	0	4	6	40	7	18	25	11	22	7	0	15	""
2717373	2nd Half	1	SUNY New Paltz	13	32	2	7	12	21	40	4	10	14	5	13	8	2	9	""
2717373	Game Stats	0	Chapman	36	81/	1	5	8	12	81	22	31	53	22	36/	16	 	26	1
2717373	Game Stats	1	SUNY New Paltz	24	58	4	12	20	32	72	8	25	33	12	35/	14	4	14	 
2717533	1st Half	0	Mount Ida	7	32	1	8	1	6	16	7	12	19	5	12	2	0	7	""
2717533	1st Half	1	Brandeis	16	41	2	11	5	8	39	13	21	34	11	9	9	5	8	""
2717533	2nd Half	0	Mount Ida	9	33	0	9	5	9	23	9	14	23	6	9	6	2	12	""
2717533	2nd Half	1	Brandeis	13	33	1	10	8	14	35	11	18	29	9	10	4	3	9	""
2717533	Game Stats	0	Mount Ida	16	65	1	17	6	15	39	16	26	42	11	21	8	2	19	2
2717533	Game Stats	1	Brandeis	29	74	3	21	13	22	74	24	39	63	20	19	13	8	17	1
2717853	1st Half	0	SUNY Oneonta	16	30	0	5	5	6	37	1	9	10	10	6	6	2	6	""
2717853	1st Half	1	Hamilton	13	22	7	10	5	8	38	1	14	15	11	12	3	0	5	""
2717853	2nd Half	0	SUNY Oneonta	13	26	1	4	6	7	33	6	14	20	9	5	5	3	9	""
2717853	2nd Half	1	Hamilton	8	29	6	15	5	9	27	8	11	19	7	7	3	3	10	""
2717853	Game Stats	0	SUNY Oneonta	29	56	1	9	11	13	70	7	23	30	19	11	11	5	15	 
2717853	Game Stats	1	Hamilton	21	51	13	25	10	17	65	9	25	34	18	19	6	3	15	 
2717868	1st Half	0	Eastern Nazarene	10	29	4	8	0	2	24	7	13	20	7	11	2	2	6	""
