year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2015	12021	26172	A&M-Corpus Chris	04	1511595	Davis, Camesha	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1511595	So	F	6-1	30	25	867:00	106	226	46.90	11	25	44.00	57	84	67.86	280	9.33	72	114	186	6.20	37	75	20	22	68	30	2	4	 
2015	12021	26172	A&M-Corpus Chris	01	1620734	Ramirez, Jennifer	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1620734	Jr	G	5-6	30	29	844:00	63	139	45.32	6	17	35.29	38	75	50.67	170	5.67	10	70	80	2.67	105	108	39	4	63	30	 	 	 
2015	12021	26172	A&M-Corpus Chris	22	1402592	Plummer, Ashanti	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1402592	Jr	F	6-2	30	24	733:00	50	104	48.08	 	 	""	29	51	56.86	129	4.30	57	85	142	4.73	26	51	14	32	77	30	2	1	 
2015	12021	26172	A&M-Corpus Chris	11	1511598	Jones, Kassie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1511598	So	G	5-7	30	14	719:00	94	276	34.06	29	98	29.59	55	64	85.94	272	9.07	10	55	65	2.17	51	68	35	7	45	30	 	 	 
2015	12021	26172	A&M-Corpus Chris	13	1620731	James, Ashley	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1620731	Fr	G	5-5	30	2	267:00	11	38	28.95	 	 	""	9	27	33.33	31	1.03	3	13	16	0.53	18	29	15	 	24	30	 	 	 
2015	12021	26172	A&M-Corpus Chris	10	1620736	Weaver, Shay	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1620736	Jr	G	5-9	30	28	932:00	162	442	36.65	63	206	30.58	75	92	81.52	462	15.40	59	125	184	6.13	58	88	35	4	60	30	 	3	 
2015	12021	26172	A&M-Corpus Chris	33	1620730	Fouty, Olivia	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1620730	Sr	F	6-0	29	28	829:00	134	277	48.38	12	48	25.00	58	83	69.88	338	11.66	87	161	248	8.55	40	49	22	20	76	29	3	11	 
2015	12021	26172	A&M-Corpus Chris	23	1620732	Lawler, Gee	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1620732	Jr	F	6-1	29	0	225:00	17	44	38.64	 	 	""	11	24	45.83	45	1.55	22	28	50	1.72	3	16	2	8	28	29	 	 	 
2015	12021	26172	A&M-Corpus Chris	03	1620729	Archer, Emmeri	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1620729	Fr	G	5-7	26	0	317:00	12	52	23.08	 	 	""	18	26	69.23	42	1.62	25	20	45	1.73	18	30	13	 	31	26	 	 	 
2015	12021	26172	A&M-Corpus Chris	02	1620733	Miskell, Shelby	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1620733	Fr	G	5-4	19	0	82:00	6	23	26.09	3	13	23.08	7	8	87.50	22	1.16	2	8	10	0.53	4	10	4	 	6	19	 	 	 
2015	12021	26172	A&M-Corpus Chris	24	1511596	Davis, Doshi	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1511596	So	F	6-1	19	0	142:00	6	26	23.08	 	2	0.00	3	4	75.00	15	0.79	8	12	20	1.05	4	14	4	2	24	19	 	 	 
2015	12021	26172	A&M-Corpus Chris	44	1620735	Walls, Jaiton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1620735	Fr	F	6-2	13	0	46:00	7	10	70.00	 	 	""	3	4	75.00	17	1.31	2	9	11	0.85	2	9	1	1	13	13	 	 	 
2015	12021	2	Abilene Christian	15	1508467	Mason, Alexis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1508467	So	G	5-9	29	23	806:00	110	302	36.42	53	180	29.44	55	74	74.32	328	11.31	33	53	86	2.97	49	87	29	5	37	29	1	 	 
2015	12021	2	Abilene Christian	12	1398877	West, Whitney	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1398877	Jr	G	6-0	29	29	869:00	104	295	35.25	59	202	29.21	34	46	73.91	301	10.38	31	38	69	2.38	69	70	55	9	68	29	2	 	 
2015	12021	2	Abilene Christian	32	1508462	Dimba, Lizzy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1508462	So	F	5-11	29	28	817:00	103	251	41.04	17	63	26.98	90	123	73.17	313	10.79	75	132	207	7.14	42	70	44	16	89	29	2	5	 
