year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2014	11560	30123	Academy of Art	-	Totals	-	-	-	-	-	6225:00	891	2,268	39.29	130	523	24.86	540	772	69.95	2,452	79.10	552	888	1,440	46.45	484	453	337	106	565	31	9	 
2014	11560	30123	Academy of Art	-	Opponent Totals	-	-	-	-	-	6225:00	781	2,026	38.55	175	609	28.74	428	615	69.59	2,165	69.84	428	921	1,349	43.52	425	635	247	92	624	31	16	 
2014	11560	929	Adams St.	-	Totals	-	-	-	-	-	5652:00	495	1,468	33.72	131	493	26.57	348	503	69.18	1,469	52.46	277	560	837	29.89	200	390	206	45	486	28	10	 
2014	11560	929	Adams St.	-	Opponent Totals	-	-	-	-	-	5650:00	601	1,402	42.87	162	458	35.37	382	507	75.35	1,746	62.36	242	708	950	33.93	337	425	174	65	494	28	6	 
2014	11560	3	Adelphi	-	Totals	-	-	-	-	-	6224:00	945	1,986	47.58	200	581	34.42	492	661	74.43	2,582	83.29	401	807	1,208	38.97	567	530	302	75	658	31	15	 
2014	11560	3	Adelphi	-	Opponent Totals	-	-	-	-	-	6225:00	767	1,832	41.87	126	376	33.51	497	707	70.30	2,159	69.65	373	729	1,102	35.55	368	597	221	75	604	31	12	 
2014	11560	10	Ala.-Huntsville	-	Totals	-	-	-	-	-	5425:00	747	1,928	38.74	210	692	30.35	607	807	75.22	2,311	85.59	524	704	1,228	45.48	350	423	366	58	610	27	23	 
2014	11560	10	Ala.-Huntsville	-	Opponent Totals	-	-	-	-	-	5425:00	669	1,636	40.89	177	514	34.44	471	684	68.86	1,986	73.56	362	766	1,128	41.78	410	623	204	105	597	27	18	 
2014	11560	11	Alas. Anchorage	-	Totals	-	-	-	-	-	5650:00	781	1,964	39.77	192	602	31.89	476	658	72.34	2,230	79.64	476	705	1,181	42.18	473	448	400	67	586	28	21	 
2014	11560	11	Alas. Anchorage	-	Opponent Totals	-	-	-	-	-	5650:00	643	1,653	38.90	144	498	28.92	491	657	74.73	1,921	68.61	365	772	1,137	40.61	438	645	205	148	526	28	12	 
2014	11560	12	Alas. Fairbanks	-	Totals	-	-	-	-	-	5201:00	668	1,614	41.39	122	408	29.90	392	568	69.01	1,850	71.15	350	679	1,029	39.58	358	535	251	63	616	26	19	 
2014	11560	12	Alas. Fairbanks	-	Opponent Totals	-	-	-	-	-	5200:00	636	1,548	41.09	108	389	27.76	542	743	72.95	1,922	73.92	329	675	1,004	38.62	308	470	264	83	496	26	13	 
2014	11560	13	Albany St. (GA)	-	Totals	-	-	-	-	-	5675:00	646	1,665	38.80	107	414	25.85	422	681	61.97	1,821	65.04	393	801	1,194	42.64	368	526	243	74	534	28	11	 
