year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2013	11240	2	Abilene Christian	33	1077022	Miller, Emily	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1077022	Sr	C	6-0	28	0	269:00	28	66	42.42	 	 	""	22	31	70.97	78	2.79	17	24	41	1.46	8	23	11	13	39	 	 	 
2013	11240	2	Abilene Christian	11	1189416	Smith, Savannah	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1189416	Jr	G	5-6	28	0	376:00	21	57	36.84	13	34	38.24	33	46	71.74	88	3.14	15	29	44	1.57	33	32	20	1	37	 	 	 
2013	11240	2	Abilene Christian	30	1189422	Marquez, Renata	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1189422	Jr	F	5-8	28	28	848:00	123	282	43.62	33	98	33.67	89	111	80.18	368	13.14	62	103	165	5.89	74	85	43	12	67	2	3	 
2013	11240	2	Abilene Christian	13	1398878	Newman, Kynzie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1398878	Fr	G	6-0	28	0	668:00	64	167	38.32	42	126	33.33	52	58	89.66	222	7.93	24	56	80	2.86	47	42	29	7	44	 	 	 
2013	11240	2	Abilene Christian	12	1398877	West, Whitney	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1398877	Fr	G	6-0	28	14	687:00	70	159	44.03	41	98	41.84	41	63	65.08	222	7.93	16	56	72	2.57	58	80	24	8	37	 	 	 
2013	11240	2	Abilene Christian	2	1296790	Dickinson, Sadie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1296790	So	F	5-10	28	26	657:00	105	255	41.18	35	104	33.65	55	76	72.37	300	10.71	41	97	138	4.93	36	50	16	2	88	2	2	 
2013	11240	2	Abilene Christian	31	1189423	Smith, Kelsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1189423	Sr	C	6-2	28	28	693:00	118	241	48.96	14	40	35.00	68	93	73.12	318	11.36	31	167	198	7.07	29	48	30	60	74	3	4	 
2013	11240	2	Abilene Christian	32	1398880	Sanders, Shannon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1398880	So	G	5-8	27	20	456:00	16	57	28.07	3	30	10.00	18	31	58.06	53	1.96	28	56	84	3.11	51	42	33	2	40	 	 	 
2013	11240	2	Abilene Christian	14	1189418	Lankford, Mack	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1189418	Jr	G	5-7	27	22	682:00	122	298	40.94	53	174	30.46	85	115	73.91	382	14.15	27	76	103	3.81	66	58	48	3	56	1	 	 
2013	11240	2	Abilene Christian	34	1296791	Parliament, Paige	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1296791	So	C	6-1	17	2	182:00	17	38	44.74	1	3	33.33	15	23	65.22	50	2.94	14	23	37	2.18	7	15	4	4	16	 	 	 
2013	11240	2	Abilene Christian	21	1398879	Jenkins, Cemetra	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1398879	Fr	G	5-4	12	0	74:00	4	24	16.67	1	5	20.00	5	5	100.00	14	1.17	2	6	8	0.67	7	12	1	 	7	 	 	 
2013	11240	30123	Academy of Art	33	1402117	Camera, Regina	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1402117	Fr	G	5-7	32	31	795:00	125	356	35.11	47	175	26.86	27	41	65.85	324	10.12	42	66	108	3.38	66	63	63	5	82	3	 	 
2013	11240	30123	Academy of Art	20	1402115	Sheng, Zoie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1402115	Fr	G	5-6	32	31	843:00	52	152	34.21	16	50	32.00	66	89	74.16	186	5.81	28	48	76	2.38	94	57	55	5	50	 	 	 
2013	11240	30123	Academy of Art	10	1402114	Guinn, Jasmin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1402114	Fr	G	5-6	32	0	636:00	72	178	40.45	3	21	14.29	50	84	59.52	197	6.16	70	61	131	4.09	48	48	49	2	66	 	1	 
2013	11240	30123	Academy of Art	22	1402116	Storey, Sha'Nice	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1402116	Fr	G	5-6	32	11	740:00	106	313	33.87	51	184	27.72	30	43	69.77	293	9.16	18	35	53	1.66	39	45	53	8	61	2	 	 
2013	11240	30123	Academy of Art	32	1402119	Wade, Katy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1402119	Sr	F	6-2	32	32	698:00	101	280	36.07	 	1	""	37	96	38.54	239	7.47	105	203	308	9.62	44	46	52	76	98	2	6	 
2013	11240	30123	Academy of Art	23	1286968	Rogers, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1286968	Sr	G	5-10	31	31	797:00	129	346	37.28	52	177	29.38	106	139	76.26	416	13.42	56	113	169	5.45	52	76	61	23	67	 	2	 
2013	11240	30123	Academy of Art	04	1286967	Biesek, Nicol	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1286967	Sr	G	5-9	31	13	489:00	66	166	39.76	6	40	15.00	10	16	62.50	148	4.77	39	56	95	3.06	56	35	21	9	24	 	 	 
2013	11240	30123	Academy of Art	21	1183132	Griggs, Alisa	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1183132	Jr	F	6-0	28	0	408:00	74	161	45.96	 	 	""	68	97	70.10	216	7.71	49	86	135	4.82	18	33	27	6	43	 	4	 
2013	11240	30123	Academy of Art	31	1286969	Dale, Ariel	http://stats.ncaa.org/player?game_sport_year_ctl_id=11240&stats_player_seq=1286969	Sr	F	5-8	28	10	746:00	132	322	40.99	1	2	50.00	76	122	62.30	341	12.18	101	95	196	7.00	91	84	84	17	74	2	4	 
