year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12500	26172	A&M-Corpus Chris	21	1843829	Young, Emma	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1843829	Fr	G	5-10	19	17	437:00	45	121	37.19	15	45	33.33	40	49	81.63	145	7.63	21	46	67	3.53	40	56	19	4	45	19	1	""	""
2017	12500	26172	A&M-Corpus Chris	04	1511595	Davis, Camesha	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1511595	Sr	F	6-1	19	16	489:00	67	122	54.92	""	""	""	31	42	73.81	165	8.68	43	80	123	6.47	18	32	22	24	38	19	1	5	""
2017	12500	26172	A&M-Corpus Chris	02	1843822	Willis, Erin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1843822	Jr	G	5-5	19	7	312:00	11	47	23.40	""	7	0.00	36	52	69.23	58	3.05	3	36	39	2.05	38	43	22	2	31	19	""	""	""
2017	12500	26172	A&M-Corpus Chris	10	1843825	Jackson, Brianna	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1843825	Jr	G	5-6	19	6	327:00	39	110	35.45	9	29	31.03	15	19	78.95	102	5.37	11	29	40	2.11	13	14	15	""	23	19	""	""	""
2017	12500	26172	A&M-Corpus Chris	12	1843826	Evans, Dae Dae	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1843826	Fr	G	5-7	19	12	396:00	35	101	34.65	2	10	20.00	19	51	37.25	91	4.79	7	31	38	2.00	29	61	17	4	29	19	""	""	""
2017	12500	26172	A&M-Corpus Chris	05	1734569	Jolivette, Uri	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1734569	So	F	5-10	18	8	363:00	23	61	37.70	""	""	""	22	36	61.11	68	3.78	28	42	70	3.89	13	27	3	6	35	18	1	""	""
2017	12500	26172	A&M-Corpus Chris	32	1843827	Booth, Dalesia	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1843827	Fr	F	5-9	18	10	321:00	43	91	47.25	""	""	""	14	23	60.87	100	5.56	27	28	55	3.06	15	31	10	9	22	18	""	""	""
2017	12500	26172	A&M-Corpus Chris	34	1843828	Matthews, Tiara	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1843828	Fr	F	5-10	18	0	229:00	25	58	43.10	""	""	""	20	43	46.51	70	3.89	32	38	70	3.89	7	21	11	2	38	18	1	""	""
2017	12500	26172	A&M-Corpus Chris	22	1857388	Plummer, Ashanti	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1857388	N/A	F	-	17	10	278:00	31	75	41.33	""	""	""	24	33	72.73	86	5.06	28	37	65	3.82	5	21	9	16	43	17	1	""	""
2017	12500	26172	A&M-Corpus Chris	11	1511598	Jones, Kassie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1511598	Sr	G	5-7	15	2	210:00	17	55	30.91	6	18	33.33	16	18	88.89	56	3.73	2	15	17	1.13	10	18	8	1	20	15	""	""	""
