year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	position	height	class_year	games_played	games_started
2016	12280	26172	A&M-Corpus Chris	14		Adebayo, Shola		G	5-8	Sr	0	0
2016	12280	26172	A&M-Corpus Chris	03	1620729.0	Archer, Emmeri	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620729.0	G	5-7	So	0	0
2016	12280	26172	A&M-Corpus Chris	30		Cottrell, Sydney-Anne		G	5-4	Fr	0	0
2016	12280	26172	A&M-Corpus Chris	04	1511595.0	Davis, Camesha	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511595.0	F	6-1	Jr	0	0
2016	12280	26172	A&M-Corpus Chris	12		Flores, Mykayla		G	5-3	Fr	0	0
2016	12280	26172	A&M-Corpus Chris	21		Henry, Kre'Ana		C	5-11	Jr	0	0
2016	12280	26172	A&M-Corpus Chris	0		Jackson, Ary		G	5-9	Fr	0	0
2016	12280	26172	A&M-Corpus Chris	5		Jolivette, Uri		F	5-10	Fr	0	0
2016	12280	26172	A&M-Corpus Chris	11	1511598.0	Jones, Kassie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511598.0	G	5-7	Jr	0	0
2016	12280	26172	A&M-Corpus Chris	23	1620732.0	Lawler, Gee	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620732.0	F	6-1	Sr	0	0
2016	12280	26172	A&M-Corpus Chris	15	1511599.0	Mbamalu, Brittany	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511599.0	G	5-8	So	0	0
2016	12280	26172	A&M-Corpus Chris	02	1620733.0	Miskell, Shelby	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620733.0	G	5-4	So	0	0
2016	12280	26172	A&M-Corpus Chris	22	1402592.0	Plummer, Ashanti	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1402592.0	F	6-2	Sr	0	0
2016	12280	26172	A&M-Corpus Chris	01	1620734.0	Ramirez, Jennifer	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620734.0	G	5-6	Sr	0	0
2016	12280	26172	A&M-Corpus Chris	33		Turner, Maddisen		F	6-0	Fr	0	0
2016	12280	26172	A&M-Corpus Chris	44	1620735.0	Walls, Jaiton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620735.0	F	6-2	So	0	0
2016	12280	26172	A&M-Corpus Chris	10	1620736.0	Weaver, Shay	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620736.0	G	5-9	Sr	0	0
2016	12280	2	Abilene Christian	22	1620778.0	Allen, Sierra	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620778.0	C	6-1	So	0	0
2016	12280	2	Abilene Christian	23	1508463.0	Dimba, Suzzy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1508463.0	F	5-11	Jr	0	0
2016	12280	2	Abilene Christian	32	1508462.0	Dimba, Lizzy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1508462.0	F	5-11	Jr	0	0
2016	12280	2	Abilene Christian	2	1620774.0	Echols, Alyssa	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620774.0	G	5-7	So	0	0
2016	12280	2	Abilene Christian	5		Martin, Mckenzie		F	6-2	Fr	0	0
2016	12280	2	Abilene Christian	15	1508467.0	Mason, Alexis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1508467.0	G	5-9	Jr	0	0
2016	12280	2	Abilene Christian	33	1508470.0	Shelstead, Sydney	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1508470.0	F	6-3	Jr	0	0
2016	12280	2	Abilene Christian	10	1620776.0	Webb, Paris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620776.0	G	5-4	Sr	0	0
2016	12280	2	Abilene Christian	24		Wentz, Breklyn		G	5-2	Fr	0	0
2016	12280	2	Abilene Christian	12	1398877.0	West, Whitney	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1398877.0	G	6-0	Sr	0	0
2016	12280	2	Abilene Christian	1		Williamson, Sara		G	5-10	Fr	0	0
2016	12280	721	Air Force	23	1624333.0	Bennett, Dee	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624333.0	F	6-0	So	0	0
2016	12280	721	Air Force	31	1624336.0	Borngesser, Maggie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624336.0	C	6-1	So	0	0
2016	12280	721	Air Force	24	1624334.0	Cantu, Sarah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624334.0	G	5-7	So	0	0
2016	12280	721	Air Force	21		Cavanaugh, Mary		G	5-8	Jr	0	0
2016	12280	721	Air Force	25	1624335.0	Chapman, Erika	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624335.0	F	5-10	So	0	0
2016	12280	721	Air Force	3		Clarke, Rileymarie		G	5-11	Fr	0	0
2016	12280	721	Air Force	5	1624330.0	Falvey, Sarah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624330.0	G	5-6	Jr	0	0
2016	12280	721	Air Force	13	1512844.0	Fotsch, Sarah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1512844.0	F	5-11	Jr	0	0
2016	12280	721	Air Force	30	1398474.0	Gamble, Christina	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1398474.0	F	5-9	Sr	0	0
2016	12280	721	Air Force	32		Glaab, Darby		F	5-11	Fr	0	0
2016	12280	721	Air Force	4	1512841.0	Graham, Sydney	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1512841.0	G	5-8	Jr	0	0
2016	12280	721	Air Force	10		Itugbu, Vennessannah		G	5-9	Fr	0	0
2016	12280	721	Air Force	2	1512849.0	Jackson, Myah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1512849.0	F	5-9	Jr	0	0
2016	12280	721	Air Force	14		Mammah, Monica		G	5-7	Fr	0	0
2016	12280	721	Air Force	12		Parker, Taylor		F	6-1	Sr	0	0
2016	12280	721	Air Force	22	1398473.0	Philpot, Madeleine	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1398473.0	G	5-11	Sr	0	0
2016	12280	721	Air Force	11	1624331.0	Porter, Cortney	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624331.0	G	5-9	So	0	0
2016	12280	721	Air Force	40		Tucker, Mikela		F	6-2	Fr	0	0
2016	12280	721	Air Force	20		Wall, Cheyenne		F	6-1	Fr	0	0
2016	12280	5	Akron	1	1624220.0	Ball, Alli	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624220.0	F	6-1	So	0	0
2016	12280	5	Akron	2	1398828.0	Barilla, Megan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1398828.0	G	5-10	Sr	0	0
2016	12280	5	Akron	15	1398829.0	Brown, Anita	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1398829.0	G	5-8	Sr	0	0
2016	12280	5	Akron	14	1624221.0	Burry, Greta	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624221.0	F	6-1	So	0	0
2016	12280	5	Akron	20	1624222.0	Flowers, Kaitlyn	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624222.0	G	5-5	So	0	0
2016	12280	5	Akron	23	1398831.0	Gibson, Diandra	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1398831.0	G	5-11	Sr	0	0
2016	12280	5	Akron	12	1624223.0	Hung, Lauren	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624223.0	G	5-8	So	0	0
2016	12280	5	Akron	35		Piper, Lilli		G	5-10	Fr	0	0
2016	12280	5	Akron	22	1514588.0	Plybon, Hannah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1514588.0	G	5-9	Jr	0	0
2016	12280	5	Akron	24	1514589.0	Ricketts, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1514589.0	G	5-11	Jr	0	0
2016	12280	5	Akron	21	1514590.0	Scipio, Hannah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1514590.0	G	5-4	Jr	0	0
2016	12280	5	Akron	11		Sefcik, Megan		G	5-10	Fr	0	0
2016	12280	5	Akron	40	1514591.0	Simone, Sophia	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1514591.0	F	5-11	Jr	0	0
2016	12280	5	Akron	34		Walker, Fredniqua		F	6-1	Fr	0	0
2016	12280	8	Alabama	21		Berry, Taylor		G	5-9	Fr	0	0
2016	12280	8	Alabama	1	1624488.0	Bolton, Quanetria	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624488.0	F	6-0	So	0	0
2016	12280	8	Alabama	3	1509539.0	Carter, Khadijah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1509539.0	F	6-1	Sr	0	0
2016	12280	8	Alabama	11	1624489.0	Cook, Hannah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624489.0	G	6-0	So	0	0
2016	12280	8	Alabama	42		Doan, Taylor		C	6-4	Fr	0	0
2016	12280	8	Alabama	12		Foy, C'Coriea		G	5-11	Fr	0	0
2016	12280	8	Alabama	5	1624491.0	Hayden, Breanna	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624491.0	G	5-9	Jr	0	0
2016	12280	8	Alabama	13	1406386.0	Hegstetter, Nikki	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1406386.0	F	6-2	Sr	0	0
2016	12280	8	Alabama	15	1624493.0	Knight, Meoshonti	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624493.0	G	5-8	So	0	0
2016	12280	8	Alabama	2		Magee, Trista		G	6-0	Fr	0	0
2016	12280	8	Alabama	35	1624494.0	Martinez, Diamante	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624494.0	F	6-3	So	0	0
2016	12280	8	Alabama	22	1509543.0	Middlebrook, Karyla	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1509543.0	G	5-7	So	0	0
2016	12280	8	Alabama	23		Wade, Shaquera		G	6-0	Fr	0	0
2016	12280	8	Alabama	20	1509546.0	Williams, Ashley	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1509546.0	F	6-0	Jr	0	0
2016	12280	6	Alabama A&M	04	1633610.0	DeBose, Alexia	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1633610.0	F	6-0	So	0	0
2016	12280	6	Alabama A&M	44	1633617.0	Dixon, Brooke	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1633617.0	F	6-1	Sr	0	0
2016	12280	6	Alabama A&M	22	1519021.0	Gatson, Alganesse	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1519021.0	G	5-8	Jr	0	0
2016	12280	6	Alabama A&M	23	1413752.0	Johnson, Ebony	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1413752.0	F	5-6	Sr	0	0
2016	12280	6	Alabama A&M	24	1633614.0	Logan, Shakira	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1633614.0	F	5-10	So	0	0
2016	12280	6	Alabama A&M	13	1633612.0	Martin, Deborah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1633612.0	F	6-2	Sr	0	0
2016	12280	6	Alabama A&M	14	1413841.0	Moffett, Shaterrion	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1413841.0	F	6-2	Sr	0	0
