year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2014	11560	4	Adrian	34	1524790	Cotton, Marissa	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1524790	N/A	""	-	25	0	302:00	41	99	41.41	25	67	37.31	17	27	62.96	124	4.96	19	33	52	2.08	18	27	18	1	25	25	 	 
2014	11560	4	Adrian	14	1414489	Shelton, Traevie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1414489	Jr	F	5-9	25	22	509:00	39	100	39.00	 	1	0.00	19	43	44.19	97	3.88	29	104	133	5.32	23	43	35	26	78	25	4	 
2014	11560	4	Adrian	11	1300937	Fougerousse, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1300937	Sr	G	5-5	25	23	607:00	59	166	35.54	42	127	33.07	10	16	62.50	170	6.80	12	22	34	1.36	61	43	18	1	36	25	1	 
2014	11560	4	Adrian	23	1294952	Rhoads, Lauren	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1294952	Sr	G	5-7	25	25	727:00	82	238	34.45	25	104	24.04	109	141	77.30	298	11.92	27	60	87	3.48	43	68	20	2	47	25	1	 
2014	11560	4	Adrian	15	1182995	Dockery, Laqwana	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1182995	Sr	G	5-8	25	25	755:00	125	281	44.48	8	27	29.63	108	149	72.48	366	14.64	63	89	152	6.08	38	63	23	6	59	25	1	6
2014	11560	4	Adrian	32	1524791	Bohlmann, Stephany	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1524791	N/A	""	-	25	5	332:00	16	64	25.00	9	31	29.03	7	14	50.00	48	1.92	14	40	54	2.16	15	17	17	2	26	25	 	 
2014	11560	4	Adrian	20	1519541	Zavithsanos, Brigitte	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1519541	Fr	G	5-6	23	0	432:00	46	135	34.07	19	59	32.20	12	22	54.55	123	5.35	21	43	64	2.78	43	49	31	1	48	23	2	 
2014	11560	4	Adrian	25	1294951	Owens, Jasmyne	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1294951	Jr	F	5-11	22	0	259:00	35	90	38.89	16	45	35.56	9	16	56.25	95	4.32	12	42	54	2.45	5	18	11	11	43	22	1	 
2014	11560	4	Adrian	40	1294953	Van Gessel, Amy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1294953	Sr	F	5-10	20	16	448:00	47	128	36.72	7	21	33.33	50	72	69.44	151	7.55	44	85	129	6.45	13	40	23	3	48	20	2	1
2014	11560	4	Adrian	10	1414487	McElroy, Antoinea	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1414487	So	G	5-4	14	9	325:00	54	151	35.76	4	20	20.00	35	50	70.00	147	10.50	18	54	72	5.14	15	43	8	6	31	14	 	1
2014	11560	4	Adrian	12	1519540	York, Jorden	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1519540	So	G	5-7	12	0	153:00	14	29	48.28	3	10	30.00	10	16	62.50	41	3.42	6	13	19	1.58	10	6	6	1	14	12	 	 
2014	11560	4	Adrian	21	1414491	McCullough, Amber	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1414491	So	G	5-7	12	0	116:00	21	32	65.62	 	 	""	11	22	50.00	53	4.42	18	13	31	2.58	6	5	2	2	34	12	 	 
2014	11560	4	Adrian	24	1519542	Machnacki, Paige	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1519542	Fr	F	5-10	9	0	31:00	1	11	9.09	 	1	0.00	4	6	66.67	6	0.67	2	5	7	0.78	 	 	 	 	8	9	 	 
2014	11560	4	Adrian	30	1414492	Cannon, Nadia	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1414492	So	C	6-3	1	0	4:00	 	 	""	 	 	""	 	 	""	 	""	 	 	 	""	 	1	1	 	 	1	 	 
2014	11560	11324	Agnes Scott	41	1407818	Hackney, Breonca	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1407818	So	G	5-8	18	14	583:00	53	129	41.09	 	 	""	40	63	63.49	146	8.11	46	50	96	5.33	5	33	6	5	30	18	 	2
2014	11560	11324	Agnes Scott	22	1514222	Bacon, Care	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1514222	Fr	G	5-5	18	16	570:00	52	178	29.21	1	4	25.00	34	62	54.84	139	7.72	21	51	72	4.00	38	84	38	11	43	18	2	 
2014	11560	11324	Agnes Scott	12	1407819	Evans, Kelcie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1407819	So	F	5-8	18	9	532:00	23	96	23.96	1	18	5.56	19	28	67.86	66	3.67	29	60	89	4.94	15	48	11	1	29	18	 	 
2014	11560	11324	Agnes Scott	11	1185624	McKinney, Janell	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1185624	Sr	G	5-5	18	16	605:00	32	114	28.07	1	14	7.14	15	26	57.69	80	4.44	25	45	70	3.89	31	53	24	 	42	18	 	 
2014	11560	11324	Agnes Scott	23	1289312	Orr, Shavonne	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1289312	Jr	G	5-10	12	10	372:00	45	161	27.95	25	88	28.41	21	40	52.50	136	11.33	9	25	34	2.83	20	49	17	4	30	12	2	 
2014	11560	11324	Agnes Scott	20	1514221	Arnold, Miranda	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1514221	Fr	F	5-10	11	7	230:00	11	58	18.97	 	 	""	11	19	57.89	33	3.00	19	35	54	4.91	6	32	9	6	41	11	4	 
2014	11560	11324	Agnes Scott	24	1185621	Cooper, Morgan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1185621	Sr	C	5-9	10	10	329:00	45	105	42.86	 	 	""	23	47	48.94	113	11.30	37	64	101	10.10	7	21	13	12	36	10	3	3
2014	11560	11324	Agnes Scott	3	1514224	Kelson, Courtney	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1514224	So	G	5-4	8	8	290:00	25	108	23.15	13	58	22.41	12	21	57.14	75	9.38	13	19	32	4.00	14	35	17	2	26	8	1	 
2014	11560	11324	Agnes Scott	25	1524567	Freeman, Destiny	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1524567	N/A	""	-	7	0	77:00	8	17	47.06	 	 	""	11	28	39.29	27	3.86	6	9	15	2.14	3	11	2	 	13	7	 	 
2014	11560	11324	Agnes Scott	5	1525227	Ricke, Jenny	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1525227	N/A	""	-	1	0	2:00	 	 	""	 	 	""	 	 	""	 	""	 	 	 	""	 	 	 	 	 	1	 	 
2014	11560	11324	Agnes Scott	2	1514223	Howard, Brittaney	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1514223	Fr	G	5-5	1	0	 	 	1	0.00	 	 	""	 	 	""	 	""	 	 	 	""	 	 	 	 	 	1	 	 
2014	11560	2798	Albertus Magnus	12	1414502	Proctor, Kelsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1414502	Sr	G	5-6	25	11	440:00	31	84	36.90	 	2	0.00	14	40	35.00	76	3.04	30	65	95	3.80	11	30	15	2	76	25	2	 
2014	11560	2798	Albertus Magnus	55	1292006	Sutila, Annie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1292006	Jr	G	5-3	25	17	681:00	67	208	32.21	56	187	29.95	12	18	66.67	202	8.08	8	35	43	1.72	34	34	23	3	20	25	 	 
2014	11560	2798	Albertus Magnus	10	1184935	Raucci, Annie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1184935	Sr	F	5-8	25	25	877:00	94	230	40.87	1	3	33.33	76	128	59.38	265	10.60	73	133	206	8.24	43	55	18	12	62	25	1	7
2014	11560	2798	Albertus Magnus	03	1184933	Carrero, Lianna	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1184933	Sr	G	5-5	25	25	905:00	210	530	39.62	53	129	41.09	157	188	83.51	630	25.20	15	97	112	4.48	54	97	16	4	63	25	4	2
2014	11560	2798	Albertus Magnus	20	1184934	Acerra, Nicole	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1184934	Sr	G	5-3	24	24	546:00	22	78	28.21	 	5	0.00	46	63	73.02	90	3.75	18	68	86	3.58	53	33	20	1	47	24	 	 
2014	11560	2798	Albertus Magnus	01	1414499	Sutherland, Olivia	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1414499	So	G	5-3	24	1	402:00	23	72	31.94	2	6	33.33	21	39	53.85	69	2.88	16	25	41	1.71	46	30	15	 	35	24	 	 
2014	11560	2798	Albertus Magnus	32	1520403	Thornton, Megan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1520403	Fr	F	5-10	23	0	152:00	5	18	27.78	 	 	""	2	10	20.00	12	0.52	11	15	26	1.13	 	7	4	5	22	23	 	 
2014	11560	2798	Albertus Magnus	33	1292001	Jagoe, Taylor	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1292001	Jr	G	5-4	22	0	196:00	17	50	34.00	11	37	29.73	10	13	76.92	55	2.50	4	17	21	0.95	6	9	15	 	13	22	 	 
2014	11560	2798	Albertus Magnus	31	1520400	Bohannon, Aaliyah	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1520400	Fr	C	6-2	17	0	177:00	20	51	39.22	 	 	""	10	15	66.67	50	2.94	16	49	65	3.82	1	7	 	20	35	17	1	 
2014	11560	2798	Albertus Magnus	11	1414501	Pendagast, Kelsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1414501	So	C	5-10	12	12	292:00	34	70	48.57	 	 	""	13	22	59.09	81	6.75	23	40	63	5.25	3	15	9	8	40	12	1	1
2014	11560	2798	Albertus Magnus	21	1414503	Sherrod, Chelsea	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1414503	So	F	5-8	9	9	220:00	15	34	44.12	 	 	""	14	24	58.33	44	4.89	25	45	70	7.78	3	15	4	7	31	9	1	 
2014	11560	2798	Albertus Magnus	23	1184932	Karle, Lindsay	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1184932	Sr	G	5-5	9	1	155:00	34	99	34.34	20	62	32.26	21	26	80.77	109	12.11	4	6	10	1.11	5	16	2	1	12	9	 	 
2014	11560	2798	Albertus Magnus	02	1520401	Burgos, Jocelyn	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1520401	Fr	G	5-5	3	0	5:00	 	1	0.00	 	1	0.00	 	 	""	 	""	 	 	 	""	 	 	 	 	 	3	 	 
2014	11560	2798	Albertus Magnus	22	1520402	Poirier, Jillian	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1520402	Fr	G	5-5	1	0	2:00	1	1	100.00	 	 	""	 	 	""	2	2.00	 	 	 	""	 	 	 	 	 	1	 	 
2014	11560	15	Albion	12	1519064	Adamczyk, Caroline	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1519064	Fr	G	6-0	25	0	325:00	25	66	37.88	3	16	18.75	18	38	47.37	71	2.84	22	34	56	2.24	6	19	4	1	39	25	 	 
2014	11560	15	Albion	20	1178812	deBear, Brett	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1178812	Sr	G	5-9	25	25	837:00	158	354	44.63	9	40	22.50	125	145	86.21	450	18.00	48	76	124	4.96	36	60	25	6	55	25	 	2
2014	11560	15	Albion	04	1519061	Curry, Oreyana	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1519061	Fr	G	5-3	25	0	324:00	25	89	28.09	6	31	19.35	40	57	70.18	96	3.84	10	26	36	1.44	25	52	8	1	43	25	1	 
2014	11560	15	Albion	11	1519063	Savage, Olivia	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1519063	Fr	G	5-2	25	24	806:00	49	161	30.43	23	84	27.38	42	63	66.67	163	6.52	19	87	106	4.24	91	85	24	1	38	25	 	 
2014	11560	15	Albion	34	1404652	Bates, Aly	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1404652	So	F	6-0	25	6	331:00	17	58	29.31	 	1	0.00	31	44	70.45	65	2.60	28	46	74	2.96	6	28	2	4	59	25	1	 
2014	11560	15	Albion	32	1404651	DeWaters, Emily	http://stats.ncaa.org/player?game_sport_year_ctl_id=11560&stats_player_seq=1404651	So	G	5-11	25	24	570:00	62	155	40.00	1	10	10.00	41	69	59.42	166	6.64	55	92	147	5.88	18	47	22	26	81	25	6	1
