year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12280	33	Armstrong St.	23	1736421	Clark, Deundria	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736421	Jr	G	5-7	5	4	138:00	7	20	35.00	2	7	28.57	5	9	55.56	21	4.20	3	22	25	5.00	14	12	5	1	10	5	 	 	 
2016	12280	33	Armstrong St.	21	1736420	Webb, B'Kiya	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736420	Jr	F	5-9	5	4	109:00	24	46	52.17	 	 	""	11	17	64.71	59	11.80	23	23	46	9.20	3	12	11	4	9	5	 	2	 
2016	12280	33	Armstrong St.	14	1736418	Manuel, Tatiana	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736418	Jr	C	6-2	5	1	65:00	5	11	45.45	 	 	""	9	13	69.23	19	3.80	9	10	19	3.80	 	4	2	11	7	5	 	 	 
2016	12280	33	Armstrong St.	30	1629920	Baker, Tiara	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1629920	Sr	G	5-6	4	0	40:00	1	6	16.67	 	1	0.00	1	2	50.00	3	0.75	 	5	5	1.25	5	8	 	 	7	4	 	 	 
2016	12280	33	Armstrong St.	24	1736422	Maeweather, Danielle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736422	Fr	G	5-6	4	1	21:00	 	1	0.00	 	1	0.00	1	2	50.00	1	0.25	 	2	2	0.50	 	5	 	 	2	4	 	 	 
2016	12280	33	Armstrong St.	25	1736423	Johnson, Bria	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736423	Fr	G	5-10	2	0	12:00	 	2	0.00	 	1	0.00	 	 	""	 	""	1	1	2	1.00	1	1	1	 	 	2	 	 	 
2016	12280	33	Armstrong St.	42	1736425	Whittemore, Morgan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736425	Fr	F	6-2	2	0	9:00	1	3	33.33	 	 	""	1	2	50.00	3	1.50	 	4	4	2.00	1	 	 	 	 	2	 	 	 
2016	12280	33	Armstrong St.	32	1736424	Montalvo, Imari	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736424	Fr	F	6-2	1	0	 	 	 	""	 	 	""	 	 	""	 	""	 	 	 	""	 	 	 	 	 	1	 	 	 
2016	12280	35	Ashland	20	1736613	Dackin, Maddie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736613	Fr	G	5-9	3	0	19:00	3	7	42.86	1	4	25.00	1	2	50.00	8	2.67	2	1	3	1.00	1	2	 	 	3	3	 	 	 
2016	12280	35	Ashland	21	1405954	Miller, Mckenzie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1405954	Sr	G	5-10	3	3	75:00	10	19	52.63	1	7	14.29	4	4	100.00	25	8.33	1	5	6	2.00	16	5	6	 	6	3	 	 	 
