game_id	period_id	section_id	team_name	fgm	fga	tpfg	tpfga	ft	fta	pts	orebs	drebs	tot	reb	ast	to	stl	blk	fouls	dq
3941281	1st Period	0	Academy of Art	10	29	3	10	2	2	17	5	7	12	2	9	3	0	8	""
3941281	1st Period	1	Winona St.	14	26	3	9	2	2	15	4	14	18	4	10	1	1	9	""
3941281	2nd Period	0	Academy of Art	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 
3941281	2nd Period	1	Winona St.	 	 	 	 	 	 	18	 	 	 	 	 	 	 	 	 
3941281	3rd Period	0	Academy of Art	11	29	5	14	3	8	15	4	8	12	6	6	0	0	17	""
3941281	3rd Period	1	Winona St.	10	22	4	8	20	22	25	4	14	18	8	6	4	0	8	""
3941281	4th Period	0	Academy of Art	 	 	 	 	 	 	15	 	 	 	 	 	 	 	 	 
3941281	4th Period	1	Winona St.	 	 	 	 	 	 	19	 	 	 	 	 	 	 	 	 
3941281	Game Stats	0	Academy of Art	21	58	8	24	5	10	55	9	15	24	8	15	3	 	25	3
3941281	Game Stats	1	Winona St.	24	48	7	17	22	24	77	8	28	36	12	16	5	1	17	 
3941357	1st Period	0	Cal St. Dom. Hills	10	26	1	6	17	17	14	5	14	19	4	10	2	0	11	""
3941357	1st Period	1	Alas. Anchorage	12	33	5	12	9	10	14	7	11	18	8	8	5	0	14	""
3941357	2nd Period	0	Cal St. Dom. Hills	 	 	 	 	 	 	24	 	 	 	 	 	 	 	 	 
3941357	2nd Period	1	Alas. Anchorage	 	 	 	 	 	 	24	 	 	 	 	 	 	 	 	 
3941357	3rd Period	0	Cal St. Dom. Hills	5	23	1	7	12	19	15	9	10	19	2	16	2	1	8	""
3941357	3rd Period	1	Alas. Anchorage	16	34	7	12	5	6	25	8	12	20	9	11	6	0	15	""
3941357	4th Period	0	Cal St. Dom. Hills	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 
3941357	4th Period	1	Alas. Anchorage	 	 	 	 	 	 	19	 	 	 	 	 	 	 	 	 
3941357	Game Stats	0	Cal St. Dom. Hills	15	49	2	13	29/	36/	61	14	24	38	6	26	4	1	19	 
3941357	Game Stats	1	Alas. Anchorage	28	67	12	24	14	16	82	15	23	38	17	19	11	 	29	1
3943058	1st Period	0	Winona St.	11	33	2	8	11	11	26	6	16	22	9	6	3	1	9	""
3943058	1st Period	1	Cal St. Dom. Hills	9	33	2	13	6	7	11	9	16	25	2	11	3	4	9	""
3943058	2nd Period	0	Winona St.	 	 	 	 	 	 	9	 	 	 	 	 	 	 	 	 
3943058	2nd Period	1	Cal St. Dom. Hills	 	 	 	 	 	 	15	 	 	 	 	 	 	 	 	 
3943058	3rd Period	0	Winona St.	8	23	2	6	13	14	13	6	16	22	7	10	3	1	8	""
3943058	3rd Period	1	Cal St. Dom. Hills	16	38	3	10	2	6	16	9	10	19	4	4	5	3	13	""
3943058	4th Period	0	Winona St.	 	 	 	 	 	 	18	 	 	 	 	 	 	 	 	 
3943058	4th Period	1	Cal St. Dom. Hills	 	 	 	 	 	 	21	 	 	 	 	 	 	 	 	 
3943058	Game Stats	0	Winona St.	19	56	4	14	24	25	66	12	32	44	16	16	6	2	17	 
3943058	Game Stats	1	Cal St. Dom. Hills	25	71	5	23	8	13	63	18	26	44	6	15	8	7/	22	1
3943104	1st Period	0	Alas. Anchorage	19	37	9	17	8	10	24	8	14	22	14	8	7	1	14	""
3943104	1st Period	1	William Jewell	7	26	0	9	13	17	14	7	10	17	2	13	0	1	9	""
3943104	2nd Period	0	Alas. Anchorage	 	 	 	 	 	 	31	 	 	 	 	 	 	 	 	 
3943104	2nd Period	1	William Jewell	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 
3943104	3rd Period	0	Alas. Anchorage	11	29	6	13	7	9	16	8	9	17	9	15	5	1	21	""
3943104	3rd Period	1	William Jewell	8	23	3	9	17	27	14	8	11	19	6	12	5	0	9	""
3943104	4th Period	0	Alas. Anchorage	 	 	 	 	 	 	19	 	 	 	 	 	 	 	 	 
3943104	4th Period	1	William Jewell	 	 	 	 	 	 	22	 	 	 	 	 	 	 	 	 
3943104	Game Stats	0	Alas. Anchorage	30	66	15/	30	15	19	90	16	23	39	23	23	12	2	35/	2
3943104	Game Stats	1	William Jewell	15	49	3	18	30/	44/	63	15	21	36	8	25	5	1	18	 
3943116	1st Period	0	William Jewell	11	27	7	13	3	8	9	6	15	21	9	12	1	0	12	""
