year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12280	26172	A&M-Corpus Chris	11	1511598	Jones, Kassie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511598	Jr	G	5-7	17	9	388:00	52	143	36.36	13	36	36.11	19	24	79.17	136	8.00	5	24	29	1.71	24	32	19	2	19	17	 	 	 
2016	12280	26172	A&M-Corpus Chris	12	1734566	Flores, Mykayla	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1734566	Fr	G	5-3	17	2	242:00	14	40	35.00	7	20	35.00	14	20	70.00	49	2.88	5	22	27	1.59	28	27	16	1	26	17	 	 	 
2016	12280	26172	A&M-Corpus Chris	15	1511599	Mbamalu, Brittany	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511599	So	G	5-8	17	15	464:00	59	170	34.71	51	132	38.64	10	14	71.43	179	10.53	15	41	56	3.29	14	40	15	2	28	17	 	 	 
2016	12280	26172	A&M-Corpus Chris	01	1620734	Ramirez, Jennifer	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620734	Sr	G	5-6	17	13	406:00	22	64	34.38	5	14	35.71	11	26	42.31	60	3.53	11	36	47	2.76	56	58	17	2	46	17	1	 	 
2016	12280	26172	A&M-Corpus Chris	04	1511595	Davis, Camesha	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511595	Jr	F	6-1	17	12	441:00	45	117	38.46	3	15	20.00	28	36	77.78	121	7.12	39	73	112	6.59	16	38	19	17	36	17	 	1	 
2016	12280	26172	A&M-Corpus Chris	21	1734567	Henry, Kre'Ana	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1734567	Jr	C	5-11	16	8	309:00	30	80	37.50	2	6	33.33	16	22	72.73	78	4.88	22	45	67	4.19	9	30	7	4	29	16	1	 	 
2016	12280	26172	A&M-Corpus Chris	33	1734570	Turner, Maddisen	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1734570	Fr	F	6-0	16	5	260:00	33	71	46.48	 	 	""	12	30	40.00	78	4.88	19	19	38	2.38	5	16	7	9	30	16	 	 	 
2016	12280	26172	A&M-Corpus Chris	03	1620729	Archer, Emmeri	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620729	So	G	5-7	15	4	186:00	9	29	31.03	 	1	0.00	4	10	40.00	22	1.47	17	14	31	2.07	10	22	5	 	19	15	 	 	 
2016	12280	26172	A&M-Corpus Chris	14	1511593	Adebayo, Shola	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511593	Sr	G	5-8	14	5	271:00	24	63	38.10	4	16	25.00	24	35	68.57	76	5.43	15	35	50	3.57	10	27	21	2	20	14	 	 	 
2016	12280	26172	A&M-Corpus Chris	5	1734569	Jolivette, Uri	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1734569	Fr	F	5-10	12	2	107:00	2	16	12.50	 	 	""	9	14	64.29	13	1.08	5	20	25	2.08	4	11	2	 	16	12	 	 	 
2016	12280	26172	A&M-Corpus Chris	10	1620736	Weaver, Shay	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620736	Sr	G	5-9	11	5	195:00	37	112	33.04	18	49	36.73	8	12	66.67	100	9.09	7	23	30	2.73	7	19	9	1	17	11	1	 	 
2016	12280	26172	A&M-Corpus Chris	02	1620733	Miskell, Shelby	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1620733	So	G	5-4	10	0	18:00	2	7	28.57	2	5	40.00	2	2	100.00	8	0.80	 	2	2	0.20	1	4	 	1	4	10	 	 	 
