year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	exempt	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2016	12280	26172	A&M-Corpus Chris	11/13/2015	Cal Poly	90	Cal Poly	http://stats.ncaa.org/team/index/12280?org_id=90	false		true	L 45 - 56	false	45 - 56	false	45	56	false		3950335	http://stats.ncaa.org/game/index/3950335?org_id=26172
2016	12280	26172	A&M-Corpus Chris	11/14/2015	East Carolina	196	East Carolina	http://stats.ncaa.org/team/index/12280?org_id=196	false		true	L 46 - 82	false	46 - 82	false	46	82	false		3951474	http://stats.ncaa.org/game/index/3951474?org_id=26172
2016	12280	26172	A&M-Corpus Chris	11/18/2015	Rice	574	Rice	http://stats.ncaa.org/team/index/12280?org_id=574	false		true	W 60 - 55	true	60 - 55	false	60	55	false		3954230	http://stats.ncaa.org/game/index/3954230?org_id=26172
2016	12280	26172	A&M-Corpus Chris	11/23/2015	Western N.M.		Western N.M.		false		true	-									
2016	12280	26172	A&M-Corpus Chris	12/01/2015	UTRGV		UTRGV		false		true	-									
2016	12280	26172	A&M-Corpus Chris	12/11/2015	Angelo St.		Angelo St.		false		true	-									
2016	12280	26172	A&M-Corpus Chris	12/14/2015	UNLV		UNLV		false		true	-									
2016	12280	26172	A&M-Corpus Chris	12/17/2015	Houston		Houston		false		true	-									
2016	12280	26172	A&M-Corpus Chris	12/19/2015	@ Texas Southern		Texas Southern		false		false	-									
2016	12280	26172	A&M-Corpus Chris	12/29/2015	@ Fordham		Fordham		false		false	-									
2016	12280	26172	A&M-Corpus Chris	12/30/2015	TBA@Bronx, NY		TBABronx, NY		false		false	-									
2016	12280	26172	A&M-Corpus Chris	01/05/2016	Central Ark.		Central Ark.		false		true	-									
2016	12280	26172	A&M-Corpus Chris	01/07/2016	@ Lamar		Lamar		false		false	-									
2016	12280	26172	A&M-Corpus Chris	01/09/2016	@ McNeese St.		McNeese St.		false		false	-									
2016	12280	26172	A&M-Corpus Chris	01/13/2016	@ Northwestern St.		Northwestern St.		false		false	-									
2016	12280	26172	A&M-Corpus Chris	01/16/2016	Nicholls St.		Nicholls St.		false		true	-									
2016	12280	26172	A&M-Corpus Chris	01/21/2016	Southeastern La.		Southeastern La.		false		true	-									
2016	12280	26172	A&M-Corpus Chris	01/23/2016	New Orleans		New Orleans		false		true	-									
2016	12280	26172	A&M-Corpus Chris	01/27/2016	@ Incarnate Word		Incarnate Word		false		false	-									
2016	12280	26172	A&M-Corpus Chris	01/30/2016	Stephen F. Austin		Stephen F. Austin		false		true	-									
2016	12280	26172	A&M-Corpus Chris	02/03/2016	Houston Baptist		Houston Baptist		false		true	-									
2016	12280	26172	A&M-Corpus Chris	02/06/2016	Sam Houston St.		Sam Houston St.		false		true	-									
2016	12280	26172	A&M-Corpus Chris	02/11/2016	@ New Orleans		New Orleans		false		false	-									
2016	12280	26172	A&M-Corpus Chris	02/13/2016	@ Stephen F. Austin		Stephen F. Austin		false		false	-									
2016	12280	26172	A&M-Corpus Chris	02/17/2016	Abilene Christian		Abilene Christian		false		true	-									
2016	12280	26172	A&M-Corpus Chris	02/20/2016	Incarnate Word		Incarnate Word		false		true	-									
2016	12280	26172	A&M-Corpus Chris	02/27/2016	@ Sam Houston St.		Sam Houston St.		false		false	-									
2016	12280	26172	A&M-Corpus Chris	03/03/2016	@ Houston Baptist		Houston Baptist		false		false	-									
2016	12280	26172	A&M-Corpus Chris	03/05/2016	@ Abilene Christian		Abilene Christian		false		false	-									
2016	12280	2	Abilene Christian	11/14/2015	Wayland Baptist		Wayland Baptist		false		true	W 96 - 71	true	96 - 71	false	96	71	false		3950317	http://stats.ncaa.org/game/index/3950317?org_id=2
2016	12280	2	Abilene Christian	11/16/2015	@ Kansas St.	327	Kansas St.	http://stats.ncaa.org/team/index/12280?org_id=327	false		false	L 45 - 76	false	45 - 76	false	45	76	false		3952188	http://stats.ncaa.org/game/index/3952188?org_id=327
2016	12280	2	Abilene Christian	11/21/2015	UTSA	706	UTSA	http://stats.ncaa.org/team/index/12280?org_id=706	false		true	W 79 - 60	true	79 - 60	false	79	60	false		3955349	http://stats.ncaa.org/game/index/3955349?org_id=2
2016	12280	2	Abilene Christian	11/23/2015	Southwest (NM)		Southwest (NM)		false		true	-									
2016	12280	2	Abilene Christian	11/27/2015	Missouri Valley		Missouri Valley		false		true	-									
2016	12280	2	Abilene Christian	12/02/2015	@ Texas Tech		Texas Tech		false		false	-									
2016	12280	2	Abilene Christian	12/04/2015	Grand Canyon@Colorado Springs, CO		Grand CanyonColorado Springs, CO		false		false	-									
2016	12280	2	Abilene Christian	12/05/2015	Eastern Mich.@Colorado Springs, CO		Eastern Mich.Colorado Springs, CO		false		false	-									
2016	12280	2	Abilene Christian	12/18/2015	@ Eastern Wash.		Eastern Wash.		false		false	-									
2016	12280	2	Abilene Christian	12/20/2015	@ Idaho		Idaho		false		false	-									
2016	12280	2	Abilene Christian	12/31/2015	Schreiner		Schreiner		false		true	-									
2016	12280	2	Abilene Christian	01/02/2016	@ Central Ark.		Central Ark.		false		false	-									
2016	12280	2	Abilene Christian	01/07/2016	Northwestern St.		Northwestern St.		false		true	-									
2016	12280	2	Abilene Christian	01/10/2016	@ Nicholls St.		Nicholls St.		false		false	-									
2016	12280	2	Abilene Christian	01/13/2016	McNeese St.		McNeese St.		false		true	-									
2016	12280	2	Abilene Christian	01/16/2016	@ Stephen F. Austin		Stephen F. Austin		false		false	-									
2016	12280	2	Abilene Christian	01/21/2016	@ Sam Houston St.		Sam Houston St.		false		false	-									
2016	12280	2	Abilene Christian	01/23/2016	@ Incarnate Word		Incarnate Word		false		false	-									
2016	12280	2	Abilene Christian	01/27/2016	Houston Baptist		Houston Baptist		false		true	-									
2016	12280	2	Abilene Christian	01/30/2016	Lamar		Lamar		false		true	-									
2016	12280	2	Abilene Christian	02/04/2016	@ Lamar		Lamar		false		false	-									
2016	12280	2	Abilene Christian	02/06/2016	@ Southeastern La.		Southeastern La.		false		false	-									
2016	12280	2	Abilene Christian	02/10/2016	Sam Houston St.		Sam Houston St.		false		true	-									
2016	12280	2	Abilene Christian	02/17/2016	@ A&M-Corpus Chris		A&M-Corpus Chris		false		false	-									
2016	12280	2	Abilene Christian	02/21/2016	Southeastern La.		Southeastern La.		false		true	-									
2016	12280	2	Abilene Christian	02/24/2016	@ Houston Baptist		Houston Baptist		false		false	-									
2016	12280	2	Abilene Christian	02/27/2016	New Orleans		New Orleans		false		true	-									
2016	12280	2	Abilene Christian	03/02/2016	Incarnate Word		Incarnate Word		false		true	-									
2016	12280	2	Abilene Christian	03/05/2016	A&M-Corpus Chris		A&M-Corpus Chris		false		true	-									
2016	12280	721	Air Force	11/13/2015	@ Gonzaga	260	Gonzaga	http://stats.ncaa.org/team/index/12280?org_id=260	false		false	L 35 - 88	false	35 - 88	false	35	88	false		3949055	http://stats.ncaa.org/game/index/3949055?org_id=260
2016	12280	721	Air Force	11/15/2015	@ Eastern Wash.	207	Eastern Wash.	http://stats.ncaa.org/team/index/12280?org_id=207	false		false	L 44 - 65	false	44 - 65	false	44	65	false		3951128	http://stats.ncaa.org/game/index/3951128?org_id=207
2016	12280	721	Air Force	11/18/2015	Denver	183	Denver	http://stats.ncaa.org/team/index/12280?org_id=183	false		true	L 48 - 57	false	48 - 57	false	48	57	false		3953432	http://stats.ncaa.org/game/index/3953432?org_id=721
2016	12280	721	Air Force	11/21/2015	@ Santa Clara	631	Santa Clara	http://stats.ncaa.org/team/index/12280?org_id=631	false		false	L 34 - 68	false	34 - 68	false	34	68	false		3955735	http://stats.ncaa.org/game/index/3955735?org_id=631
2016	12280	721	Air Force	11/23/2015	@ UC Davis		UC Davis		false		false	-									
2016	12280	721	Air Force	11/30/2015	@ Vanderbilt		Vanderbilt		false		false	-									
2016	12280	721	Air Force	12/04/2015	Eastern Mich.		Eastern Mich.		false		true	-									
2016	12280	721	Air Force	12/05/2015	Grand Canyon		Grand Canyon		false		true	-									
2016	12280	721	Air Force	12/12/2015	@ Southern Utah		Southern Utah		false		false	-									
2016	12280	721	Air Force	12/19/2015	@ George Mason		George Mason		false		false	-									
2016	12280	721	Air Force	12/21/2015	@ Navy		Navy		false		false	-									
2016	12280	721	Air Force	01/02/2016	@ San Jose St.		San Jose St.		false		false	-									
2016	12280	721	Air Force	01/06/2016	Wyoming		Wyoming		false		true	-									
2016	12280	721	Air Force	01/09/2016	@ Nevada		Nevada		false		false	-									
2016	12280	721	Air Force	01/13/2016	Utah St.		Utah St.		false		true	-									
2016	12280	721	Air Force	01/16/2016	UNLV		UNLV		false		true	-									
2016	12280	721	Air Force	01/20/2016	@ Colorado St.		Colorado St.		false		false	-									
2016	12280	721	Air Force	01/23/2016	@ Fresno St.		Fresno St.		false		false	-									
2016	12280	721	Air Force	01/27/2016	New Mexico		New Mexico		false		true	-									
2016	12280	721	Air Force	01/30/2016	San Jose St.		San Jose St.		false		true	-									
2016	12280	721	Air Force	02/03/2016	@ Wyoming		Wyoming		false		false	-									
2016	12280	721	Air Force	02/06/2016	@ Boise St.		Boise St.		false		false	-									
2016	12280	721	Air Force	02/10/2016	Nevada		Nevada		false		true	-									
2016	12280	721	Air Force	02/13/2016	San Diego St.		San Diego St.		false		true	-									
2016	12280	721	Air Force	02/17/2016	@ UNLV		UNLV		false		false	-									
2016	12280	721	Air Force	02/20/2016	@ New Mexico		New Mexico		false		false	-									
2016	12280	721	Air Force	02/24/2016	Fresno St.		Fresno St.		false		true	-									
2016	12280	721	Air Force	03/01/2016	@ Utah St.		Utah St.		false		false	-									
2016	12280	721	Air Force	03/04/2016	Colorado St.		Colorado St.		false		true	-									
