game_id	period_id	section_id	team_name	fgm	fga	tpfg	tpfga	ft	fta	pts	orebs	drebs	tot	reb	ast	to	stl	blk	fouls	dq
2683403	1st Half	0	Virginia Intermont	10	26	1	4	10	14	31	9	16	25	6	19	3	1	10	""
2683403	1st Half	1	East Carolina	19	44	4	17	8	11	50	11	10	21	10	6	15	3	12	""
2683403	2nd Half	0	Virginia Intermont	5	23	0	2	6	10	16	6	9	15	2	22	7	0	13	""
2683403	2nd Half	1	East Carolina	18	36	5	12	11	16	52	12	14	26	12	13	13	3	8	""
2683403	Game Stats	0	Virginia Intermont	15	49	1	6	16	24	47	15	25	40	8	41	10	1	23	2
2683403	Game Stats	1	East Carolina	37	80	9	29	19	27	102	23	24	47	22	19	28	6	20	 
2683410	1st Half	0	Sam Houston St.	10	20	3	5	2	5	25	0	11	11	6	13	2	0	10	""
2683410	1st Half	1	Arkansas	17	31	5	9	6	9	45	5	11	16	14	6	5	2	11	""
2683410	2nd Half	0	Sam Houston St.	6	24	0	7	8	15	20	7	11	18	4	11	0	4	12	""
2683410	2nd Half	1	Arkansas	13	29	6	10	4	10	36	7	10	17	8	9	3	2	11	""
2683410	Game Stats	0	Sam Houston St.	16	44	3	12	10	20	45	7	22	29	10	24	2	4	22	 
2683410	Game Stats	1	Arkansas	30	60	11	19	10	19	81	12	21	33	22	15	8	4	22	 
2683534	1st Half	0	Jacksonville	12	30	3	8	7	12	34	7	13	20	8	16	8	0	7	""
2683534	1st Half	1	Florida A&M	13	29	1	4	6	6	33	3	15	18	6	13	3	3	11	""
2683534	2nd Half	0	Jacksonville	11	36	3	10	5	12	30	14	18	32	6	12	2	4	16	""
2683534	2nd Half	1	Florida A&M	12	35	1	6	11	17	36	9	14	23	8	5	4	0	10	""
2683534	Game Stats	0	Jacksonville	23	66	6	18	12	24	64	21	31	52	14	28	10	4	23	1
2683534	Game Stats	1	Florida A&M	25	64	2	10	17	23	69	12	29	41	14	18	7	3	21	 
2683633	1st Half	0	Norfolk St.	8	24	0	1	13	15	29	3	20	23	4	14	6	0	12	""
