year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	position	height	class_year	games_played	games_started
2017	12500	4	Adrian	11	1524790.0	Cotton, Marissa	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1524790.0	G	5-6	Sr	6	0
2017	12500	4	Adrian	23	1744699.0	Crawford, Katie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1744699.0	F	6-0	So	17	4
2017	12500	4	Adrian	34	1744700.0	Davidson, Emilee	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1744700.0	F	6-2	Sr	16	0
2017	12500	4	Adrian	12	1858449.0	Garvey, Shannon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858449.0	G	5-7	Fr	18	18
2017	12500	4	Adrian	21	1858450.0	Goosby, Angelina	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858450.0	F	5-10	Fr	18	17
2017	12500	4	Adrian	30	1858452.0	Harris, Starnisha	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858452.0	G	5-5	Jr	17	1
2017	12500	4	Adrian	20	1629485.0	Jackson, Mariah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1629485.0	G	5-4	Jr	18	0
2017	12500	4	Adrian	24	1858451.0	Johnson, Sadia	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858451.0	G	5-8	Fr	18	18
2017	12500	4	Adrian	33	1858453.0	Kondrath, Alivia	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858453.0	G	5-6	Fr	12	0
2017	12500	4	Adrian	40	1858454.0	Kubik, Alyssa	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858454.0	G	5-7	Fr	12	6
2017	12500	4	Adrian	25	1744705.0	Kunce, Kennedy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1744705.0	F	5-10	Sr	17	0
2017	12500	4	Adrian	15	1519542.0	Machnacki, Paige	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1519542.0	F	5-10	Sr	18	0
2017	12500	4	Adrian	14	1744703.0	Morris, Ashley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1744703.0	G	5-7	So	18	16
2017	12500	4	Adrian	32	1629488.0	Nay, Madison	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1629488.0	C	6-1	Jr	13	0
2017	12500	4	Adrian	10	1519541.0	Zavithsanos, Brigitte	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1519541.0	G	5-6	Sr	18	10
2017	12500	11324	Agnes Scott	22	1626365.0	Banks, Natasha	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1626365.0	G	5-5	Jr	8	3
2017	12500	11324	Agnes Scott	14	1626366.0	Collins, Laniqua	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1626366.0	F	5-11	Jr	10	9
2017	12500	11324	Agnes Scott	24	1626367.0	Figueroa, Adriana	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1626367.0	G	5-4	Jr	12	2
2017	12500	11324	Agnes Scott	33	1858423.0	Grant, Garis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858423.0	F	5-11	Fr	13	13
2017	12500	11324	Agnes Scott	2	1514223.0	Howard, Brittaney	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1514223.0	G	5-5	Sr	4	0
2017	12500	11324	Agnes Scott	34	1858424.0	Lane, Kamiyla	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858424.0	F	5-10	Fr	13	0
2017	12500	11324	Agnes Scott	1		Nash-Fuller, Jameelah		F	5-7	Fr	0	0
2017	12500	11324	Agnes Scott	13	1858422.0	Park, Ashley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858422.0	G	5-6	Jr	9	1
2017	12500	11324	Agnes Scott	3	1748627.0	Perchaluk, Zoey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1748627.0	G	5-5	So	13	11
2017	12500	11324	Agnes Scott	21	1626371.0	Simpson, Kisha	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1626371.0	F	5-10	Jr	0	0
2017	12500	11324	Agnes Scott	10	1626370.0	Teemer, Jalexis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1626370.0	G	5-6	Jr	13	13
2017	12500	11324	Agnes Scott	5	1858421.0	Weimerskirch, Anna	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858421.0	G	5-8	Fr	13	13
2017	12500	2798	Albertus Magnus	34	1858211.0	Bohannon, Aaliyah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858211.0	F	6-5	Sr	13	0
2017	12500	2798	Albertus Magnus	23	1625043.0	Bolden, Olivia	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1625043.0	F	5-5	Jr	19	19
2017	12500	2798	Albertus Magnus	21	1858210.0	Byrd, Sasha	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858210.0	G	5-6	So	6	0
2017	12500	2798	Albertus Magnus	5	1858207.0	Epps, Kiki	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858207.0	G	5-5	Jr	19	19
2017	12500	2798	Albertus Magnus	13	1735516.0	Falcigno, Liz	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1735516.0	G	5-7	Sr	18	18
2017	12500	2798	Albertus Magnus	15	1858208.0	Grimshaw, Robyn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858208.0	F	6-0	So	16	0
2017	12500	2798	Albertus Magnus	25	1866541.0	Harris, Ava	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1866541.0	""	-	N/A	7	0
2017	12500	2798	Albertus Magnus	20	1858209.0	Hudson, Bryanna	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858209.0	G	5-5	So	6	0
2017	12500	2798	Albertus Magnus	3	1735517.0	Johnson, Jill	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1735517.0	G	5-6	So	19	19
2017	12500	2798	Albertus Magnus	2	1858206.0	Nelson, Acacia	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1858206.0	G	5-1	Sr	10	0
2017	12500	2798	Albertus Magnus	10	1625044.0	Piccerillo, Angelina	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1625044.0	F	5-5	Jr	19	9
2017	12500	2798	Albertus Magnus	44	1520403.0	Thornton, Megan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1520403.0	F	5-10	Sr	8	2
2017	12500	2798	Albertus Magnus	12	1735519.0	Ward, Dazhane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1735519.0	G	5-8	So	10	9
2017	12500	15	Albion	32	1852105.0	Bernas, Emily	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1852105.0	F	5-11	Fr	18	18
2017	12500	15	Albion	33	1632904.0	Bosheers, Jodie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1632904.0	F	5-10	Jr	4	0
2017	12500	15	Albion	14	1852103.0	Carter, Sam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1852103.0	G	5-5	Fr	10	0
2017	12500	15	Albion	04	1519061.0	Curry, Oreyana	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1519061.0	G	5-3	Sr	18	18
2017	12500	15	Albion	44	1852106.0	Fairbanks, Mackenzie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1852106.0	G	5-7	Fr	15	0
2017	12500	15	Albion	30	1739789.0	Hubbard, Jami	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1739789.0	F	5-11	So	17	0
2017	12500	15	Albion	12	1852102.0	Leutz, Brittany	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1852102.0	G	5-9	Fr	18	2
2017	12500	15	Albion	24	1632906.0	Neary, Catie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1632906.0	G	5-9	Jr	6	0
2017	12500	15	Albion	10	1632912.0	Nelson, Erin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1632912.0	F	5-10	Jr	16	15
2017	12500	15	Albion	3	1632913.0	Orban, Tierra	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1632913.0	G	5-5	Jr	15	0
2017	12500	15	Albion	5	1852101.0	Ruesch, Paige	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1852101.0	G	5-3	Fr	15	0
2017	12500	15	Albion	21	1519063.0	Savage, Olivia	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1519063.0	G	5-2	Sr	18	18
2017	12500	15	Albion	23	1852104.0	Wischmeyer, Evelyn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1852104.0	F	5-11	Fr	18	18
2017	12500	15	Albion	22	1862818.0	Yob, Mackenzie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1862818.0	G	5-4	Fr	6	0
2017	12500	15	Albion	11	1739784.0	Zgoda, Emily	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1739784.0	G	5-6	Sr	18	1
2017	12500	16	Albright	10	1859103.0	Gray, Kewa	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1859103.0	G	5-10	Fr	13	0
2017	12500	16	Albright	21	1522785.0	Harris, Morgan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1522785.0	G	5-4	Sr	16	0
2017	12500	16	Albright	13	1629288.0	Horka, Devan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1629288.0	F	6-0	Jr	19	16
2017	12500	16	Albright	14	1740490.0	Jackson, Amara-Niani	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1740490.0	G	5-7	Sr	14	0
2017	12500	16	Albright	32	1740493.0	Jones, Aniya	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1740493.0	G	5-5	So	9	0
2017	12500	16	Albright	04	1629286.0	Joyce, Jane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1629286.0	G	5-4	Jr	19	19
2017	12500	16	Albright	1	1859101.0	Killion, Lauren	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1859101.0	G	5-8	Fr	16	0
2017	12500	16	Albright	5	1740487.0	Lea, Mikayla	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1740487.0	G	5-11	So	19	6
2017	12500	16	Albright	23	1740492.0	Lofton, Alysha	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1740492.0	F	5-9	Jr	19	19
2017	12500	16	Albright	22	1740491.0	Mazzarelli, Nina	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1740491.0	G	5-9	Jr	18	17
2017	12500	16	Albright	2	1859102.0	Mohamed, Zaria	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1859102.0	C	6-0	Fr	5	0
2017	12500	16	Albright	31	1859104.0	Ryan, Maura	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1859104.0	C	6-0	Fr	17	0
2017	12500	16	Albright	12	1522786.0	Thomas, Shannon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1522786.0	G	5-9	Sr	19	18
2017	12500	16	Albright	45	1859105.0	Woolsey, Kaitlyn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1859105.0	G	5-9	Fr	2	0
2017	12500	18	Alfred	11	1741514.0	Andrews, Kayla	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12500&stats_player_seq=1741514.0	G	5-6	Jr	5	0
