year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12280	4	Adrian	25	1744705	Kunce, Kennedy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1744705	Jr	F	5-10	2	0	12:00	1	5	20.00	 	 	""	 	 	""	2	1.00	4	 	4	2.00	 	4	 	 	3	2	 	 	 
2016	12280	4	Adrian	14	1744703	Morris, Ashley	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1744703	Fr	G	5-7	2	0	23:00	2	8	25.00	1	2	50.00	 	 	""	5	2.50	2	3	5	2.50	2	5	 	 	2	2	 	 	 
2016	12280	4	Adrian	34	1744700	Davidson, Emilee	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1744700	Jr	F	6-2	2	2	33:00	5	9	55.56	 	 	""	1	2	50.00	11	5.50	3	7	10	5.00	 	5	 	2	4	2	 	 	 
2016	12280	4	Adrian	44	1744699	Crawford, Katie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1744699	Fr	F	6-0	2	0	36:00	4	11	36.36	1	1	100.00	3	5	60.00	12	6.00	4	8	12	6.00	 	3	 	 	 	2	 	 	 
2016	12280	4	Adrian	20	1629485	Jackson, Mariah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1629485	So	G	5-4	2	1	51:00	4	14	28.57	2	8	25.00	6	8	75.00	16	8.00	1	3	4	2.00	5	2	2	 	3	2	 	 	 
2016	12280	4	Adrian	33	1629483	Cameron, Brigette	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1629483	Sr	G	5-5	2	2	27:00	 	4	0.00	 	 	""	 	 	""	 	""	5	1	6	3.00	1	6	 	 	2	2	 	 	 
2016	12280	4	Adrian	11	1524790	Cotton, Marissa	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1524790	Jr	G	5-6	2	1	38:00	4	12	33.33	2	8	25.00	7	10	70.00	17	8.50	1	4	5	2.50	2	4	 	 	6	2	 	 	 
2016	12280	4	Adrian	15	1519542	Machnacki, Paige	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1519542	Jr	F	5-10	2	0	20:00	2	8	25.00	 	6	0.00	 	 	""	4	2.00	 	2	2	1.00	2	2	2	 	 	2	 	 	 
2016	12280	4	Adrian	10	1519541	Zavithsanos, Brigitte	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1519541	Jr	G	5-6	2	0	34:00	1	4	25.00	 	3	0.00	2	2	100.00	4	2.00	4	3	7	3.50	4	4	2	 	3	2	 	 	 
2016	12280	4	Adrian	12	1519540	York, Jorden	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1519540	Sr	G	5-7	2	2	55:00	4	19	21.05	2	9	22.22	1	4	25.00	11	5.50	1	4	5	2.50	5	4	1	 	6	2	 	 	 
