year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	position	height	class_year	games_played	games_started
2012	10760	4	Adrian	34	1079642.0	Boggs, Nicole	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1079642.0	G	5-7	Jr	23	19
2012	10760	4	Adrian	32	1183001.0	Byers, Jasmine	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1183001.0	F	5-11	Jr	19	15
2012	10760	4	Adrian	15	1182995.0	Dockery, LaQwana	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1182995.0	G	5-8	So	24	16
2012	10760	4	Adrian	11	1300937.0	Fougerousse, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1300937.0	""	-	N/A	14	0
2012	10760	4	Adrian	10	1079644.0	Galecka, Kayla	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1079644.0	G	5-6	Jr	8	3
2012	10760	4	Adrian	14	964763.0	Headley, Jenn	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=964763.0	F	5-10	Sr	23	18
2012	10760	4	Adrian	20	1294950.0	Mossner, McCauley	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1294950.0	G	5-8	Fr	8	0
2012	10760	4	Adrian	12	1182994.0	Nihart, Jayma	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1182994.0	G	5-3	So	20	4
2012	10760	4	Adrian	25	1294951.0	Owens, Jasmyne	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1294951.0	C	5-11	Fr	6	0
2012	10760	4	Adrian	23	1294952.0	Rhoads, Lauren	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1294952.0	F	5-7	So	21	9
2012	10760	4	Adrian	21	964764.0	Ross, Katie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=964764.0	G	5-6	Sr	24	22
2012	10760	4	Adrian	30	1183000.0	Scott, Senneca	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1183000.0	F	5-8	So	23	12
2012	10760	4	Adrian	40	1294953.0	Van Gessel, Amy	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1294953.0	F	5-10	So	22	1
2012	10760	4	Adrian	33	1079645.0	Walker, Rachael	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1079645.0	G	5-7	Jr	16	1
2012	10760	11324	Agnes Scott	41	1289311.0	Brown, Courtney	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1289311.0	F	5-10	Sr	18	0
2012	10760	11324	Agnes Scott	24	1185621.0	Cooper, Morgan	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1185621.0	C	5-9	So	23	0
2012	10760	11324	Agnes Scott	15	1185623.0	Creer, Courtney	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1185623.0	F	5-9	Jr	19	1
2012	10760	11324	Agnes Scott	11	1080252.0	Gutierrez, Cristina	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1080252.0	C	4-0	Jr	22	1
2012	10760	11324	Agnes Scott	13	1080253.0	Hornbostel, Rachael	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1080253.0	G	5-2	Sr	24	24
2012	10760	11324	Agnes Scott	30	1080255.0	Jones, Tiffany	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1080255.0	G	5-8	Jr	24	20
2012	10760	11324	Agnes Scott	5	1185624.0	McKinney, Janell	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1185624.0	G	5-5	So	11	0
2012	10760	11324	Agnes Scott	23	1289312.0	Orr, Shavonne	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1289312.0	G	5-10	Fr	21	0
2012	10760	11324	Agnes Scott	99	1313353.0	Player, Extra	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1313353.0	""	-	N/A	0	0
2012	10760	11324	Agnes Scott	98	1313352.0	Player2, Extra	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1313352.0	""	-	N/A	0	0
2012	10760	11324	Agnes Scott	3	1185618.0	Pulice-Farrow, Lexi	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1185618.0	G	5-6	So	22	2
2012	10760	11324	Agnes Scott	25	1185622.0	Recio, Caroline	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1185622.0	G	5-8	So	6	0
2012	10760	11324	Agnes Scott	12	971176.0	Reeves, Kimberly	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=971176.0	C	5-10	Sr	24	24
2012	10760	11324	Agnes Scott	10	1080257.0	Register, Arielle	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1080257.0	G	5-0	Jr	24	24
2012	10760	11324	Agnes Scott	14	1080258.0	Sapateh, Genefine	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1080258.0	G	5-8	Jr	24	24
2012	10760	2798	Albertus Magnus	11	1184934.0	Acerra, Nicole	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1184934.0	G	5-3	So	26	3
2012	10760	2798	Albertus Magnus	32	972872.0	Boudreau, Sarah	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=972872.0	C	5-10	Sr	26	24
2012	10760	2798	Albertus Magnus	22	1292004.0	Brackeen, Shannon	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1292004.0	G	5-7	Jr	8	0
2012	10760	2798	Albertus Magnus	5	1292002.0	Brown, Bianca	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1292002.0	F	5-10	Sr	24	24
2012	10760	2798	Albertus Magnus	20	1075024.0	Bush, Shanilya	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1075024.0	G	5-3	Jr	5	0
2012	10760	2798	Albertus Magnus	3	1184933.0	Carrero, Lianna	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1184933.0	G	5-5	So	26	26
2012	10760	2798	Albertus Magnus	44	1292007.0	Hawk, Clare	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1292007.0	G	5-4	Fr	6	0
2012	10760	2798	Albertus Magnus	1	1292001.0	Jagoe, Taylor	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1292001.0	G	5-4	Fr	25	0
2012	10760	2798	Albertus Magnus	23	1184932.0	Karle, Lindsay	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1184932.0	G	5-5	So	26	26
2012	10760	2798	Albertus Magnus	12		Miller, Kayla		G	5-5	Fr	0	0
2012	10760	2798	Albertus Magnus	10	1184935.0	Raucci, Annie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1184935.0	F	5-8	So	26	26
2012	10760	2798	Albertus Magnus	24	1292005.0	Raynor, Lindsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1292005.0	C	5-9	Jr	26	1
2012	10760	2798	Albertus Magnus	21	1075027.0	Rosemond, Maritza	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1075027.0	F	5-5	Jr	9	0
2012	10760	2798	Albertus Magnus	33	1292006.0	Sutila, Annie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1292006.0	G	5-3	Fr	25	0
2012	10760	15	Albion	34	1069113.0	Davignon, Lisa	http://stats.ncaa.org/player?game_sport_year_ctl_id=10760&stats_player_seq=1069113.0	F	5-11	Sr	24	4
