rk,school,div,str,ofs,dfs,sos
1,UConn,D1,2.129,1.508,0.708,1.095
2,Baylor,D1,1.873,1.448,0.773,1.089
3,Mississippi St.,D1,1.747,1.388,0.795,1.086
4,Notre Dame,D1,1.695,1.490,0.879,1.127
5,Louisville,D1,1.668,1.294,0.776,1.100
6,Oregon,D1,1.636,1.379,0.843,1.104
7,Texas,D1,1.593,1.370,0.860,1.106
8,UCLA,D1,1.560,1.281,0.821,1.118
9,South Carolina,D1,1.544,1.292,0.837,1.092
10,Green Bay,D1,1.538,1.057,0.687,1.032
11,Florida St.,D1,1.535,1.382,0.900,1.083
12,Ohio St.,D1,1.487,1.436,0.965,1.101
13,Tennessee,D1,1.486,1.284,0.864,1.099
14,Maryland,D1,1.478,1.327,0.898,1.074
15,Oregon St.,D1,1.477,1.197,0.810,1.076
16,Stanford,D1,1.463,1.183,0.808,1.124
17,Arizona St.,D1,1.453,1.138,0.783,1.095
18,Duke,D1,1.443,1.158,0.802,1.075
19,South Fla.,D1,1.442,1.249,0.867,1.078
20,Michigan,D1,1.411,1.205,0.854,1.064
21,NC State,D1,1.403,1.140,0.813,1.088
22,West Virginia,D1,1.403,1.197,0.853,1.078
23,DePaul,D1,1.402,1.378,0.983,1.078
24,Texas A&M,D1,1.389,1.309,0.942,1.096
25,Oklahoma St.,D1,1.379,1.301,0.943,1.083
26,Oklahoma,D1,1.376,1.298,0.943,1.123
27,Georgia,D1,1.375,1.109,0.806,1.069
28,Marquette,D1,1.370,1.350,0.985,1.076
29,Southern California,D1,1.369,1.153,0.842,1.092
30,Georgia Tech,D1,1.360,1.148,0.844,1.069
31,Missouri,D1,1.357,1.152,0.849,1.078
32,Iowa,D1,1.356,1.279,0.943,1.075
33,Miami (FL),D1,1.345,1.187,0.882,1.082
34,South Dakota St.,D1,1.345,1.223,0.909,1.027
35,Princeton,D1,1.333,1.110,0.832,1.023
36,Utah,D1,1.329,1.186,0.892,1.074
37,Virginia Tech,D1,1.327,1.240,0.934,1.074
38,Michigan St.,D1,1.320,1.208,0.915,1.082
39,Minnesota,D1,1.318,1.382,1.049,1.063
40,Villanova,D1,1.311,1.133,0.864,1.064
41,Rutgers,D1,1.308,1.072,0.820,1.089
42,Buffalo,D1,1.308,1.225,0.936,1.025
43,Syracuse,D1,1.306,1.252,0.959,1.072
44,LSU,D1,1.299,1.109,0.854,1.081
45,California,D1,1.295,1.178,0.910,1.099
46,Gonzaga,D1,1.287,1.130,0.878,1.019
47,Elon,D1,1.278,1.149,0.900,1.008
48,St. John's (NY),D1,1.272,1.095,0.861,1.078
49,Creighton,D1,1.270,1.122,0.884,1.086
50,Belmont,D1,1.265,1.178,0.931,0.978
51,Nebraska,D1,1.262,1.110,0.880,1.070
52,Kentucky,D1,1.260,1.138,0.903,1.090
53,Virginia,D1,1.260,1.054,0.837,1.106
54,TCU,D1,1.256,1.233,0.982,1.090
55,Central Mich.,D1,1.254,1.284,1.024,1.035
56,Dayton,D1,1.254,1.192,0.951,1.023
57,Ball St.,D1,1.252,1.227,0.980,1.017
58,Purdue,D1,1.252,1.074,0.858,1.079
59,Western Ky.,D1,1.249,1.192,0.955,1.010
60,Drake,D1,1.245,1.280,1.028,0.995
61,Quinnipiac,D1,1.243,1.122,0.903,0.995
62,IUPUI,D1,1.239,1.095,0.884,1.024
63,Indiana,D1,1.238,1.145,0.925,1.090
64,Alabama,D1,1.236,1.099,0.889,1.059
65,UCF,D1,1.234,0.982,0.796,1.053
66,Mercer,D1,1.232,1.111,0.902,0.977
67,FGCU,D1,1.228,1.161,0.946,0.980
68,Penn,D1,1.228,1.020,0.831,1.010
69,South Dakota,D1,1.226,1.121,0.914,1.010
70,Auburn,D1,1.222,1.046,0.856,1.079
71,Ashland,D2,1.219,1.376,1.129,0.900
72,Iowa St.,D1,1.217,1.094,0.900,1.094
73,Kansas St.,D1,1.215,1.131,0.931,1.089
74,Wake Forest,D1,1.211,1.112,0.919,1.077
75,Wright St.,D1,1.209,1.155,0.955,1.023
76,Georgetown,D1,1.202,1.060,0.882,1.067
77,Washington St.,D1,1.193,1.125,0.943,1.109
78,Drexel,D1,1.187,0.995,0.838,1.011
79,Colorado,D1,1.176,1.150,0.978,1.078
80,James Madison,D1,1.173,1.032,0.880,1.021
81,UC Davis,D1,1.155,1.090,0.943,0.998
82,Seton Hall,D1,1.155,1.097,0.950,1.060
83,Maine,D1,1.152,1.006,0.873,0.999
84,Penn St.,D1,1.151,1.142,0.992,1.066
85,Saint Mary's (CA),D1,1.151,1.128,0.980,1.027
86,New Mexico,D1,1.151,1.213,1.054,1.006
87,George Washington,D1,1.146,0.958,0.836,1.040
88,Duquesne,D1,1.146,1.104,0.963,1.011
89,Missouri St.,D1,1.146,1.122,0.979,1.015
90,North Carolina,D1,1.145,1.207,1.054,1.072
91,Little Rock,D1,1.143,0.915,0.801,0.999
92,Butler,D1,1.141,1.071,0.939,1.062
93,Western Ill.,D1,1.141,1.194,1.046,0.987
94,Cincinnati,D1,1.135,1.034,0.911,1.040
95,George Mason,D1,1.135,1.085,0.956,0.995
96,Fordham,D1,1.134,0.946,0.835,1.016
97,Miami (OH),D1,1.134,1.069,0.943,1.017
