game_id	section_id	player_id	player_name	player_url	position	minutes_played	field_goals_made	field_goals_attempted	three_point_field_goals	three_point_field_goals_attempted	free_throws	free_throws_attempted	points	offensive_rebounds	defensive_rebounds	total_rebounds	assists	turnovers	steals	blocks	fouls
3511644	0	1403117	Fleming, Ashton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1403117	0	27	1	7	0	3	2	2	4	3	8	11	0	6	0	0	3
3511644	0	1403114	Stokes, Chanel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1403114	0	29	0	11	0	5	0	0	0	0	1	1	0	2	0	1	4
3511644	0	1514642	Washington, Kentra	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1514642	0	30	2	8	2	6	0	0	6	0	3	3	1	2	1	0	3
3511644	0	1290167	Kirby, Lauren	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1290167	0	28	4	8	0	0	0	1	8	2	6	8	0	3	0	0	1
3511644	0	1514641	Corella, Maria	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1514641	0	28	1	5	1	1	1	2	4	1	1	2	2	5	0	1	2
3511644	0	1514643	Pinholster, Grayson	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1514643	0	9	1	3	0	0	0	0	2	2	4	6	0	3	0	0	1
3511644	0	1622886	Lambdin, Kelsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1622886	0	9	0	1	0	1	0	0	0	1	0	1	1	0	0	0	2
3511644	0	1403115	Joyner, Khadijah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1403115	0	12	0	1	0	0	1	2	1	0	2	2	0	1	0	1	4
3511644	0	1514640	Traynor, Sarah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1514640	0	28	5	8	2	3	0	0	12	0	1	1	2	4	0	0	3
3511644	0		TEAM		0	0	0	0	0	0	0	0	0	1	2	3	0	2	0	0	0
3511644	0		Totals		0	200	14	52	5	19	4	7	37	10	28	38	6	28	1	3	23
3511644	1	1403137	Baldwin, Lexie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1403137	0	26	0	7	0	2	4	6	4	1	6	7	1	0	2	0	2
3511644	1	1403138	Black, Kiyanna	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1403138	0	31	8	16	3	8	2	2	21	1	8	9	1	3	2	0	2
3511644	1	1285312	Byard, Mariah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1285312	0	25	2	5	2	5	2	2	8	0	3	3	1	0	1	0	0
3511644	1	1520087	Lampkins, Quiera	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1520087	0	30	7	9	0	1	2	5	16	3	2	5	1	2	3	3	2
3511644	1	1285311	Yelle, Kat	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1285311	0	19	2	5	0	0	4	6	8	0	1	1	1	2	1	0	0
3511644	1	1520084	Boesinger, Hannah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1520084	0	17	1	3	1	2	1	2	4	1	1	2	1	1	0	0	3
3511644	1	1520086	Jenkins, Yamonie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1520086	0	21	0	3	0	0	0	0	0	0	0	0	5	0	2	0	1
3511644	1		Karlis, Kelly		0	12	4	4	3	3	2	3	13	1	2	3	1	0	1	3	1
3511644	1	1520089	Weatherspoon, Jasmine	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1520089	0	19	3	7	0	0	4	6	10	2	4	6	2	0	0	1	4
3511644	1		TEAM		0	0	0	0	0	0	0	0	0	1	4	5	0	0	0	0	0
3511644	1		Totals		0	200	27	59	9	21	21	32	84	10	31	41	14	8	12	7	15
3509584	0		Janeesa Jamierson		0	28	2	16	0	3	2	4	6	2	1	3	0	3	0	1	1
3509584	0		Micaiah King		0	27	4	12	1	4	1	2	10	3	5	8	2	5	2	0	4
3509584	0		Raeha Weaver		0	34	6	14	5	8	2	2	19	1	5	6	1	9	3	0	4
3509584	0		Theresa Dray		0	18	0	1	0	0	0	0	0	2	3	5	1	0	1	1	4
3509584	0		Tiffany Bradford		0	22	1	3	1	3	0	0	3	0	3	3	1	0	1	0	5
3509584	0		Diamond Dailey		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3509584	0		Diamond Jones		0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3509584	0		Dominique Staten		0	26	1	10	1	7	0	0	3	0	2	2	2	1	0	0	0
3509584	0		Elisha Major		0	18	1	7	1	4	0	0	3	1	0	1	0	0	0	0	5
3509584	0		Malika Flenorl		0	19	1	1	0	0	0	0	2	0	1	1	1	2	0	0	1
3509584	0		Taylor Moore		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3509584	0		TEAM		0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
3509584	0		Totals		0	200	16	64	9	29	5	8	46	9	21	30	8	20	8	2	24
3509584	1	1509915	Crosby, Ellisha	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1509915	0	19	4	7	0	2	0	1	8	1	6	7	3	1	2	0	0
3509584	1	1509913	Frederick-Childress, Minisha	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1509913	0	18	3	6	0	0	5	6	11	0	4	4	2	3	0	0	1
3509584	1	1402135	Reynolds, Rosanna	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1402135	0	19	3	6	1	2	2	2	9	0	2	2	3	2	2	1	0
3509584	1	1509911	Ristovski, Haleigh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1509911	0	21	5	9	2	5	0	0	12	3	2	5	5	2	3	2	1
3509584	1	1622554	Seward, Darianne	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1622554	0	31	3	6	0	1	9	10	15	0	6	6	5	2	2	1	2
3509584	1	1402132	Bradford, Davonna	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1402132	0	16	1	3	0	1	0	0	2	2	6	8	0	1	0	0	2
3509584	1	1622553	Cohen, Brianne	http://stats.ncaa.org/player?game_sport_year_ctl_id=12021&stats_player_seq=1622553	0	10	2	4	0	0	1	4	5	1	2	3	1	2	0	1	2
