BEGIN
 rd |      name       |   p   
----+-----------------+-------
  2 | Stanford        | 0.999
  2 | UConn           | 0.999
  2 | South Carolina  | 0.992
  2 | Maryland        | 0.991
  2 | Baylor          | 0.990
  2 | NC State        | 0.976
  2 | Louisville      | 0.974
  2 | Indiana         | 0.972
  2 | Arizona         | 0.971
  2 | UCLA            | 0.966
  2 | Texas A&M       | 0.965
  2 | Georgia         | 0.961
  2 | Tennessee       | 0.948
  2 | West Virginia   | 0.888
  2 | Kentucky        | 0.886
  2 | Rutgers         | 0.858
  2 | Missouri St     | 0.848
  2 | Iowa            | 0.842
  2 | Arkansas        | 0.839
  2 | Gonzaga         | 0.822
  2 | Texas           | 0.816
  2 | Oregon          | 0.793
  2 | Michigan        | 0.750
  2 | Oklahoma St     | 0.704
  2 | Syracuse        | 0.639
  2 | Iowa St         | 0.608
  2 | South Florida   | 0.604
  2 | Oregon St       | 0.590
  2 | SF Austin       | 0.566
  2 | Northwestern    | 0.561
  2 | Virginia Tech   | 0.548
  2 | North Carolina  | 0.522
  2 | Alabama         | 0.478
  2 | Marquette       | 0.452
  2 | UCF             | 0.439
  2 | Georgia Tech    | 0.434
  2 | Florida St      | 0.410
  2 | Washington St   | 0.396
  2 | Michigan St     | 0.392
  2 | South Dakota St | 0.361
  2 | Wake Forest     | 0.296
  2 | FGCU            | 0.250
  2 | South Dakota    | 0.207
  2 | Bradley         | 0.184
  2 | Belmont         | 0.178
  2 | Wright St       | 0.161
  2 | C Michigan      | 0.158
  2 | UC Davis        | 0.152
  2 | BYU             | 0.142
  2 | Idaho St        | 0.114
  2 | Lehigh          | 0.112
  2 | MTSU            | 0.052
  2 | Drexel          | 0.039
  2 | Troy            | 0.035
  2 | Wyoming         | 0.034
  2 | Stony Brook     | 0.029
  2 | VCU             | 0.028
  2 | Marist          | 0.026
  2 | NC A&T          | 0.024
  2 | Jackson St      | 0.010
  2 | Mt St Mary's    | 0.009
  2 | Mercer          | 0.008
  2 | High Point      | 0.001
  2 | Utah Valley     | 0.001
  3 | UConn           | 0.974
  3 | Stanford        | 0.959
  3 | Baylor          | 0.925
  3 | South Carolina  | 0.920
  3 | Maryland        | 0.866
  3 | NC State        | 0.804
  3 | UCLA            | 0.791
  3 | Louisville      | 0.748
  3 | Indiana         | 0.727
  3 | Texas A&M       | 0.704
  3 | Tennessee       | 0.583
  3 | Kentucky        | 0.551
  3 | Arizona         | 0.515
  3 | Arkansas        | 0.474
  3 | Oregon          | 0.472
  3 | Georgia         | 0.466
  3 | Rutgers         | 0.460
  3 | Missouri St     | 0.460
  3 | West Virginia   | 0.455
  3 | Iowa            | 0.400
  3 | Michigan        | 0.352
  3 | SF Austin       | 0.316
  3 | Gonzaga         | 0.253
  3 | Georgia Tech    | 0.216
  3 | Iowa St         | 0.198
  3 | Texas           | 0.189
  3 | Northwestern    | 0.151
  3 | South Florida   | 0.131
  3 | UCF             | 0.099
  3 | Michigan St     | 0.095
  3 | North Carolina  | 0.072
  3 | Washington St   | 0.062
  3 | Alabama         | 0.061
  3 | South Dakota    | 0.060
  3 | FGCU            | 0.060
  3 | Oregon St       | 0.052
  3 | Virginia Tech   | 0.043
  3 | Wright St       | 0.036
  3 | Oklahoma St     | 0.035
  3 | UC Davis        | 0.030
  3 | Marquette       | 0.030
  3 | Florida St      | 0.027
  3 | C Michigan      | 0.027
  3 | BYU             | 0.025
  3 | Idaho St        | 0.023
  3 | Syracuse        | 0.019
  3 | Belmont         | 0.018
  3 | Bradley         | 0.014
  3 | Lehigh          | 0.013
  3 | Wake Forest     | 0.007
  3 | South Dakota St | 0.006
  3 | Wyoming         | 0.006
  3 | MTSU            | 0.005
  3 | Troy            | 0.003
  3 | VCU             | 0.003
  3 | NC A&T          | 0.002
  3 | Marist          | 0.002
  3 | Drexel          | 0.002
  3 | Jackson St      | 0.001
  3 | Mercer          | 0.001
  3 | Mt St Mary's    | 0.001
  3 | Stony Brook     | 0.001
  3 | High Point      | 0.000
  3 | Utah Valley     | 0.000
  4 | UConn           | 0.933
  4 | Stanford        | 0.911
  4 | Baylor          | 0.817
  4 | South Carolina  | 0.813
  4 | Maryland        | 0.560
  4 | NC State        | 0.443
  4 | Louisville      | 0.419
  4 | Indiana         | 0.417
  4 | UCLA            | 0.368
  4 | Texas A&M       | 0.360
  4 | Arizona         | 0.285
  4 | Oregon          | 0.266
  4 | Rutgers         | 0.264
  4 | Georgia         | 0.227
  4 | Tennessee       | 0.101
  4 | Gonzaga         | 0.094
  4 | West Virginia   | 0.073
  4 | Iowa St         | 0.063
  4 | SF Austin       | 0.053
  4 | Michigan        | 0.052
  4 | Northwestern    | 0.046
  4 | Texas           | 0.040
  4 | Kentucky        | 0.036
  4 | Arkansas        | 0.035
  4 | Missouri St     | 0.033
  4 | South Florida   | 0.032
  4 | Georgia Tech    | 0.030
  4 | UCF             | 0.026
  4 | Michigan St     | 0.022
  4 | Oregon St       | 0.021
  4 | Iowa            | 0.021
  4 | Oklahoma St     | 0.018
  4 | North Carolina  | 0.017
  4 | South Dakota    | 0.016
  4 | Virginia Tech   | 0.016
  4 | Alabama         | 0.014
  4 | Washington St   | 0.011
  4 | Marquette       | 0.010
  4 | Florida St      | 0.009
  4 | Syracuse        | 0.008
  4 | BYU             | 0.005
  4 | FGCU            | 0.004
  4 | Wake Forest     | 0.002
  4 | Belmont         | 0.002
  4 | South Dakota St | 0.002
  4 | Wright St       | 0.001
  4 | Bradley         | 0.001
  4 | Wyoming         | 0.000
